Table 5
The Phase-resolved and Pulsed Spectral Analysis Results


	Power Law				Logpar

Phase	Photon Index	${\chi }^{2}$	dof	Null Hypothesis	alpha	beta	${\chi }^{2}$	dof	Null Hypothesis
				Probability					Probability	
0.00-0.14	1.530 +or- 0.123	1207.66	1126	0.045	1.026 +or- 0.852	0.250 +or- 0.418	1207.35	1125	0.044
0.14-0.16	1.344 +or- 0.064	264.861	285	0.798	0.615 +or- 0.488	0.357 +or- 0.235	262.49	284	0.815
0.16-0.18	1.560 +or- 0.046	297.938	352	0.983	1.273 +or- 0.318	0.145 +or- 0.158	297.09	351	0.983
0.18-0.20	1.456 +or- 0.034	417.727	436	0.727	1.251 +or- 0.232	0.100 +or- 0.112	416.925	435	0.725
0.20-0.22	1.424 +or- 0.026	573.546	550	0.236	1.121 +or- 0.182	0.149 +or- 0.089	570.705	549	0.252
0.22-0.24	1.456 +or- 0.022	634.603	682	0.902	1.515 +or- 0.136	-0.029 +or- 0.066	634.411	681	0.899
0.24-0.26	1.445 +or- 0.018	720.945	805	0.984	1.248 +or- 0.119	0.096 +or- 0.058	718.06	804	0.986
0.26-0.28	1.398 +or- 0.017	874.19	872	0.473	1.164 +or- 0.109	0.113 +or- 0.052	869.266	871	0.510
0.28-0.30	1.366 +or- 0.016	813.851	905	0.986	1.050 +or- 0.108	0.153 +or- 0.052	804.684	904	0.992
0.30-0.32	1.358 +or- 0.016	843.144	889	0.862	0.948 +or- 0.109	0.196 +or- 0.052	827.622	888	0.926
0.32-0.34	1.367 +or- 0.017	825.724	874	0.877	1.184 +or- 0.110	0.088 +or- 0.053	822.84	873	0.886
0.34-0.36	1.327 +or- 0.018	741.81	818	0.973	0.951 +or- 0.119	0.181 +or- 0.057	730.939	817	0.986
0.36-0.38	1.350 +or- 0.018	669.523	812	1.000	1.091 +or- 0.117	0.123 +or- 0.055	664.362	811	1.000
0.38-0.40	1.341 +or- 0.018	728.888	779	0.900	0.983 +or- 0.121	0.172 +or- 0.058	719.396	778	0.934
0.40-0.42	1.341 +or- 0.019	735.784	774	0.834	1.106 +or- 0.125	0.113 +or- 0.060	732.077	773	0.851
0.42-0.44	1.364 +or- 0.019	747.241	758	0.603	1.153 +or- 0.130	0.103 +or- 0.062	744.481	757	0.620
0.44-0.46	1.388 +or- 0.020	718.338	725	0.563	1.316 +or- 0.132	0.035 +or- 0.063	718.03	724	0.556
0.46-0.48	1.382 +or- 0.021	635.89	676	0.863	0.988 +or- 0.145	0.191 +or- 0.070	628.223	675	0.901
0.48-0.50	1.400 +or- 0.023	618.462	617	0.476	1.276 +or- 0.154	0.060 +or- 0.074	617.793	616	0.472
0.50-0.52	1.397 +or- 0.025	516.611	565	0.928	0.957 +or- 0.176	0.215 +or- 0.086	510.051	564	0.949
0.52-0.54	1.461 +or- 0.028	459.932	513	0.955	1.126 +or- 0.189	0.163 +or- 0.092	456.378	512	0.963
0.54-0.56	1.410 +or- 0.032	483.215	464	0.260	1.040 +or- 0.216	0.180 +or- 0.104	480.017	463	0.283
0.56-0.58	1.432 +or- 0.037	385.549	410	0.802	0.913 +or- 0.267	0.258 +or- 0.131	381.653	409	0.830
0.58-0.60	1.442 +or- 0.045	322.192	361	0.930	1.581 +or- 0.294	-0.069 +or- 0.142	321.971	360	0.926
0.60-0.64	1.495 +or- 0.038	565.61	614	0.919	1.055 +or- 0.262	0.218 +or- 0.128	562.616	613	0.928
0.64-0.80	1.549 +or- 0.056	1306.21	1424	0.988	0.972 +or- 0.388	0.288 +or- 0.192	1303.88	1423	0.989
