#energy        flux [photons cm-2 s-1 kev-1]    flux [photons cm-2 s-1 kev-1]                        
       0.5           71497912.9995905              1072452.153665460                      
      0.51           67475457.0501807               985440.872567321                      
      0.52           63187371.5376411               892557.985955306                      
      0.53           59700104.6774894               807512.285869440                      
      0.54           55398850.2236786               710671.744758518                      
      0.55           50833395.2408709               607885.819742824                      
      0.56           46687389.9324625               531640.221766935                      
      0.57            43605923.518938               467185.655086204                      
      0.58           40680544.4350177               422577.403141136                      
      0.59           38382607.6413421               389055.360512011                      
       0.6           35547975.8643668               357980.852199818                      
      0.61           32818301.0822943               327453.127072277                      
      0.62           29942007.8048008               297940.931240663                      
      0.63           27011393.5388889               269266.775184401                      
      0.64           28380031.1610831               347726.972766957                      
      0.65           46359660.1457404               378400.983153160                      
      0.66           19271272.5198111               195592.066499034                      
      0.67           19121701.2903213               202319.982904079                      
      0.68           18278402.9142617               186834.494590310                      
      0.69           17335876.6269638               172579.002441524                      
       0.7           16431182.9257098               159445.246542946                      
      0.71           15638244.3367522               147347.869430269                      
      0.72           14827502.0276544               136192.256443968                      
      0.73           14083608.0020136               125922.513478786                      
      0.74           16878815.2391845               220436.266728351                      
      0.75            15480086.367507               204151.284167011                      
      0.76           14757568.5914063               189165.976122428                      
      0.77           13945081.7697428               175232.852098275                      
      0.78           13230740.1244812               162354.565883779                      
      0.79           12550652.3192352               150422.809768590                      
       0.8           11902305.0446032               139363.484198441                      
      0.81           11344260.3713324               129113.002500436
      0.82           10702044.7735308               119585.477122861 
      0.83           10124441.1098355               110734.168129265                      
      0.84           14691913.6094856               102503.551555279                      
      0.85            9045647.7769064               94854.4180096848                      
      0.86           158063703.904129               87921.1093647470                      
      0.87           9289504.35494409               81086.6786619237                      
      0.88           13466022.2699221               88222.0903095192                      
      0.89           12835395.6835476               81454.7458558427                      
       0.9           202807611.859512               75220.0359253052                      
      0.91           11319408.2339538               69431.9400564325                      
      0.92           12988020.4853151               76804.5332998716                      
      0.93           20458151.6289209               59534.1931539532                      
      0.94           10326578.2329934               55190.0408646277                      
      0.95           47759341.2262991               51165.8033251722                      
      0.96           8852703.39138969               47438.3086920452                      
      0.97           8313926.08565303               43985.1645560220                      
      0.98           8129151.69774341               40785.9808238267                      
      0.99           7541719.36266849               37821.8181598419                      
         1           7803129.98222943               35075.1731497867                      
      1.01           6865597.39822181               32530.9744014203                      
      1.02           8590943.26380787               30242.0934625254                      
      1.03            7182651.1997508               36515.8338022927                      
      1.04           5990849.56662189               25964.9257049606                      
      1.05            6965904.5982871               31349.8732854528                      
      1.06           5281530.92363792               22340.1383038518                      
      1.07           5025192.27997537               20725.5335533154                      
      1.08           4781882.78758402               19228.3189714225                      
      1.09           4600722.47236649               17839.9745746837                      
       1.1           4336826.02364803               16552.7722735138                      
      1.11           4469627.58799421               15359.1182175886                      
      1.12           3924996.97983574               14252.3802010237                      
      1.13           3955539.03911897               13228.1830782163                      
      1.14           3559800.00185467               12277.8297044556                      
      1.15           3389680.25200221               11396.2067807080                      
      1.16           3229451.98533033               10578.5185678961                      
      1.17           3074669.26800155                9819.8928867060                      
      1.18           2928439.06642248                9115.9856193797                      
      1.19           2789152.95579474               8462.74213085332                      
       1.2           2938748.67437304               8471.05068727918                      
      1.21           2795598.14347333               7865.30161909524                      
      1.22           2662424.13525933               7302.73229746725                      
      1.23           2535339.86841208               6780.23819290665                      
      1.24           2423087.60238572               6294.98094149284                      
      1.25            2298625.3967995               5844.31970438525                      
      1.26           2188403.80397442               5425.65830692862                      
      1.27           2103231.94265917               5037.22030033297                      
      1.28           1999313.14833867               4675.12427003390                      
      1.29           1901097.80345815               4338.20585913016                      
       1.3           1807670.26842626               4024.93901203228                      
      1.31           1721321.20931981               3733.92728155668                      
      1.32           2523917.18011701               6787.62813893914                      
      1.33           3340183.36233852               5089.52050569480                      
      1.34           5504743.53446914               3590.83238697594                      
      1.35           1634914.54664995               3023.53816280982                      
      1.36           1343762.18092568               2569.79441828209                      
      1.37           1302965.97179553               2387.71264091565                      
      1.38           1281867.76309677               2233.55287224473                      
      1.39           1185728.12339698               2060.36163278279                      
       1.4           1132352.77368823               1914.01514984891                      
      1.41           1079346.87192606               1778.15789551643                      
      1.42           1029929.37049087               1651.92463799754                      
      1.43           986150.016711653               1534.73203497039                      
      1.44           944118.450478605               1425.89443621388                      
      1.45           907787.278128211               1324.81569918402                      
      1.46           866999.186646232               1230.96481401222                      
      1.47           833225.506258212               1143.77898815256                      
      1.48           779390.171508375               1062.90197537999                      
      1.49              775946.461687                987.70196054538                      
       1.5           710903.434461402                917.78077352774                      
      1.51            679073.30004065                852.85836298638                      
      1.52           648571.549630926                792.54478845562                      
      1.53           619567.221762414                736.51166887167                      
      1.54           591948.187147034                684.45551358616                      
      1.55           566116.661897335                636.20071399947                      
      1.56           540447.905066504                591.15961373229                      
      1.57           516458.021983047               549.414849774780                      
      1.58           1616230.69987822              2401.349232643330                      
      1.59           954181.625198112              1316.438853057190                      
       1.6           453257.297976949               442.594657451028                      
      1.61           432483.917449027               410.676754803094                      
      1.62           413161.923697278               381.161567029162                      
      1.63           395134.228096533               354.318472534519                      
      1.64           377922.784129362               329.373764531796                      
      1.65           361524.445870696               306.192470635773                      
      1.66           345849.682493641               284.652117945030                      
      1.67           330819.184284453               264.627531161056                      
      1.68           316478.655220844               246.019235136847                      
      1.69           303102.937190331               228.723977775804                      
       1.7           289998.669861215               212.649032760291                      
      1.71           291527.057477172               197.712954330142                      
      1.72           265504.410512761               183.819960894262                      
      1.73           260621.314606348               170.911084652597                      
      1.74           243134.935023816               158.910794721943                      
      1.75           232669.218367164               147.755418815543                      
      1.76           222653.965355615               137.384094170380                      
      1.77           228103.407885377               132.452057301100                      
      1.78           218244.221611544               123.164305519792                      
      1.79           208801.864782085               114.528360548900                      
       1.8           204696.052852388              111.1510130401470                      
      1.81           215464.060853158              122.9076058557140                      
      1.82           182991.237751824               92.0912783043196                      
      1.83           175672.707252747               85.9116767685598                      
      1.84           23302998.8597508             7004.0706451504900                      
      1.85           252619.371365392               88.2715264282472                      
      1.86           168368.003346054               70.3859871733176                      
      1.87           147376.782148116               64.0580183348533                      
      1.88           141367.581323544               59.5812322640683                      
      1.89           135621.212446831               55.4183454631587                      
       1.9           130147.887806294               51.5475311573003                      
      1.91           124899.742400829               47.9530229670067                      
      1.92           119861.755127601               44.5999784943507                      
      1.93           115050.723681535               41.4868988521302                      
      1.94           111125.348384465               38.7296849235048                      
      1.95           109572.066844858               36.4094709708031                      
      1.96           111536.953665526               34.6075400926964                      
      1.97           100996.860346202               31.0666355980750                      
      1.98           97079.2752692883               28.9007655391980                      
      1.99           211236.359756054               26.8865481178703                      
         2           171910.983665923               25.0127898999088                      
      2.01           86873.7308232332               23.2701600446932                      
      2.02           83078.0803084554               21.6493128656812                      
      2.03           79967.2033956014               20.1417053364394                      
      2.04           76988.0229808985               18.7393875332253                      
      2.05           74135.8229384822               17.4349968837147                      
      2.06           71402.4237553155               16.2216727967118                      
      2.07             68783.75644296               15.0930221636667                      
      2.08           66274.7038081781               14.0431292404448                      
      2.09            64221.089623838               13.0884898388135                      
       2.1           61905.7266687961               12.1784526875351                      
      2.11            59686.310244104               11.3318715424870                      
      2.12           57571.6117088783              10.54751921543950                      
      2.13           55518.2480197081               9.81161253275651                      
      2.14           63493.6363544449               9.82878575020171                      
      2.15           51685.5799563524               8.49603090029948                      
      2.16           52899.5984623658               7.90586416067353                      
      2.17           80238.6009626934               9.38027878371126                      
      2.18           97566.2245403757               7.75766822298394                      
      2.19           44973.2606910331               6.37579263814189                      
       2.2            43380.905329606               5.92906130458111                      
      2.21           48302.6337310816               6.24338970011552                      
      2.22           40504.5279968892               5.13501882253631                      
      2.23           141848.450208554              17.32986772957410                      
      2.24           37965.4153614497               4.47836705322458                      
      2.25           69173.6955565154               8.78395931229574                      
      2.26           35399.8455443008               3.85238256107587                      
      2.27           40333.9325249772               3.92040467250918                      
      2.28           48967.5010757143               3.98399796268400                      
      2.29           32069.0794055545               3.10587072301316                      
       2.3           32053.3514838141               2.91817205758925                      
      2.31           30168.6758039456               2.69059746564109                      
      2.32           29215.4958487703               2.50432265966697                      
      2.33           28951.0997637716               2.33097685683820                      
      2.34           27416.7487603477               2.16965878622632                      
      2.35           26565.4514441492               2.01953762222806                      
      2.36           25745.4052433414               1.87982700399669                      
      2.37           24955.4835260987               1.74980381621694                      
      2.38           24906.5032609784               1.62960911251307                      
      2.39            23461.710546573               1.51617283182668                      
       2.4           22755.7866971692               1.41135705323485                      
      2.41           22075.6305976788               1.31380404241020                      
      2.42           21423.5811490971               1.22300825492529                      
      2.43           566376.597899006               1.28985237515912                      
      2.44           22778.3327381337               1.06497304036675                      
      2.45           67020.5186723065               1.00657195881155                      
      2.46           159863.922088169               0.92576134264076                      
      2.47           20148.4561663237               0.85919639622287                      
      2.48           19596.7842403333              0.799881787861474                      
      2.49             19064.13368028              0.744671691159041                      
       2.5           18549.7371773317              0.693280001815707                      
      2.51           18052.8615706691              0.645443338054205                      
      2.52           17572.8057497513              0.600913763701373                      
      2.53           17108.8969398116              0.559463093896228                      
      2.54           16660.4959427588              0.520877393222405                      
      2.55           16226.9889558484              0.484958507625283                      
      2.56           15807.9036741864              0.451521552858904                      
      2.57           15402.3666945707              0.420394581111007                      
      2.58           15010.0961284697              0.391418132522245                      
      2.59           36312.6045718588              0.364442958015004                      
       2.6             14341.08559868              0.339330459214104                      
      2.61           13907.6641962297              0.315951773913300                      
      2.62           60698.5779546348              0.294186780018093                      
      2.63           13230.2961010096              0.273924154242409                      
      2.64           12907.6570585871              0.255059937827796                      
      2.65           12658.8128581899              0.237499654888289                      
      2.66             12292.25232676              0.221146498812294                      
      2.67           11998.6831657549              0.205923657767967                      
      2.68           12097.4125779103              0.191750640924950                      
      2.69           11815.3685785602              0.178554737158661                      
       2.7           11541.7216306295              0.166268927037525                      
      2.71           11368.3130578711              0.154837065681204                      
      2.72           11018.3995624301              0.144179478697848                      
      2.73           11063.2829441519              0.134262927238258                      
      2.74           10525.1304324595              0.125029582399527                      
      2.75           10289.0933304935              0.116432617430357                      
      2.76             10059.78447977              0.108427625542194                      
      2.77           9836.96409948135              0.100974204110890                      
      2.78           9620.41479453008              0.094033981613420                      
      2.79           20196.9337263232              0.087571631316264                      
       2.8           9205.26241694499              0.081554140332992                      
      2.81           9306.92960840549             0.0759720744338481                      
      2.82           8851.09142725893             0.0707350451444297                      
      2.83           21375.1497300757             0.0666670709804191                      
      2.84           8442.28362086942             0.0613507061369565                      
      2.85            9882.2873942807             0.0571987635505766                      
      2.86           8088.85175627376             0.0532144717289868                      
      2.87           7919.74574083321             0.0495611302538688                      
      2.88           8475.81201684883             0.0461592105086879                      
      2.89            7594.6499741879             0.0429908061886755                      
       2.9           7438.37879355204             0.0400404417152864                      
      2.91             7286.107383813             0.0372929429484147                      
      2.92           7137.70361074844             0.0347342377055157                      
      2.93           6993.04097723937             0.0323513771693973                      
      2.94           6862.91940613587             0.0301325110159141                      
      2.95           6714.46179697225             0.0280657322656872                      
      2.96           10396.7384922007             0.0262336854170608                      
      2.97           6449.46406831674             0.0243487159828673                      
