# Nominal transmission of the UV filter, tabulated by the producing company
# (Luxel), based on the chemical composition of the filter itself.
# See email by Fabio on August 13, 2018.
#
#Energy [keV]  Transparency
	1.0    0.67792
        1.1    0.74133
        1.2    0.79031
        1.3    0.82837
        1.4    0.85825
        1.5    0.88175
        1.6    0.85868
        1.7    0.87855
        1.8    0.89507
        1.9    0.90885
        2.0    0.92030
        2.1    0.92996
        2.2    0.93821
        2.3    0.94523
        2.4    0.95125
        2.5    0.95645
        2.6    0.96094
        2.7    0.96484
        2.8    0.96826
        2.9    0.97125
        3.0    0.97388
        3.1    0.97620
        3.2    0.97826
        3.3    0.98010
        3.4    0.98174
        3.5    0.98320
        3.6    0.98452
        3.7    0.98570
        3.8    0.98677
        3.9    0.98774
        4.0    0.98861
        4.1    0.98941
        4.2    0.99013
        4.3    0.99079
        4.4    0.99141
        4.5    0.99196
        4.6    0.99246
        4.7    0.99292
        4.8    0.99335
        4.9    0.99375
        5.0    0.99412
        5.1    0.99446
        5.2    0.99476
        5.3    0.99506
        5.4    0.99533
        5.5    0.99557
        5.6    0.99580
        5.7    0.99602
        5.8    0.99621
        5.9    0.99640
        6.0    0.99659
        6.1    0.99675
        6.2    0.99691
        6.3    0.99705
        6.4    0.99719
        6.5    0.99731
        6.6    0.99743
        6.7    0.99756
        6.8    0.99766
        6.9    0.99776
        7.0    0.99786
        7.1    0.99794
        7.2    0.99802
        7.3    0.99812
        7.4    0.99819
        7.5    0.99825
        7.6    0.99832
        7.7    0.99840
        7.8    0.99845
        7.9    0.99852
        8.0    0.99857
        8.1    0.99862
        8.2    0.99867
        8.3    0.99872
        8.4    0.99877
        8.5    0.99880
        8.6    0.99885
        8.7    0.99889
        8.8    0.99892
        8.9    0.99896
        9.0    0.99900
        9.1    0.99903
        9.2    0.99907
        9.3    0.99909
        9.4    0.99912
        9.5    0.99914
        9.6    0.99917
        9.7    0.99919
        9.8    0.99922
        9.9    0.99924
       10.0    0.99926
       10.1    0.99929
       10.2    0.99932
       10.3    0.99934
       10.4    0.99936
       10.5    0.99937
       10.6    0.99939
       10.7    0.99941
       10.8    0.99943
       10.9    0.99943
       11.0    0.99945
       11.1    0.99946
       11.2    0.99948
       11.3    0.99950
       11.4    0.99950
       11.5    0.99952
       11.6    0.99953
       11.7    0.99954
       11.8    0.99955
       11.9    0.99957
       12.0    0.99958
