#keV	MMA1	MMA2	MMA3	Total
#
1.02	56.5	55.6	57.6	169.7
1.06	64.2	63.1	65.5	192.9
1.10	71.9	70.7	73.4	216.0
1.14	78.3	77.0	79.8	235.1
1.18	84.6	83.2	86.3	254.1
1.22	91.0	89.4	92.8	273.2
1.26	97.3	95.7	99.3	292.2
1.30	103.6	101.9	105.7	311.3
1.34	108.4	106.6	110.5	325.5
1.38	113.1	111.2	115.4	339.6
1.42	117.8	115.8	120.2	353.8
1.46	122.5	120.5	125.0	368.0
1.50	127.2	125.1	129.8	382.2
1.54	128.0	125.9	130.6	384.5
1.58	128.8	126.6	131.4	386.8
1.62	129.6	127.4	132.2	389.2
1.66	130.4	128.2	133.0	391.5
1.70	131.1	128.9	133.8	393.9
1.74	134.0	131.8	136.7	402.5
1.78	136.9	134.6	139.7	411.2
1.82	139.8	137.5	142.6	419.9
1.86	142.7	140.3	145.6	428.5
1.90	145.6	143.1	148.5	437.2
1.94	147.8	145.3	150.7	443.8
1.98	150.0	147.5	153.0	450.4
2.02	152.2	149.6	155.2	457.0
2.06	154.4	151.8	157.5	463.6
2.10	156.6	153.9	159.7	470.2
2.14	158.3	155.6	161.4	475.3
2.18	160.0	157.3	163.2	480.5
2.22	161.7	159.0	164.9	485.6
2.26	163.4	160.7	166.7	490.8
2.30	165.1	162.3	168.4	495.9
2.34	166.5	163.7	169.8	499.9
2.38	167.8	165.0	171.2	504.0
2.42	169.2	166.3	172.6	508.0
2.46	170.5	167.7	173.9	512.1
2.50	171.9	169.0	175.3	516.1
2.54	172.9	170.0	176.4	519.4
2.58	174.0	171.1	177.5	522.6
2.62	175.1	172.1	178.6	525.8
2.66	176.1	173.2	179.7	529.0
2.70	177.2	174.2	180.8	532.2
2.74	178.1	175.1	181.6	534.8
2.78	178.9	175.9	182.5	537.3
2.82	179.8	176.7	183.4	539.9
2.86	180.6	177.6	184.2	542.4
2.90	181.4	178.4	185.1	545.0
2.94	182.1	179.1	185.8	547.0
2.98	182.8	179.7	186.5	549.0
3.02	183.5	180.4	187.2	551.0
3.06	184.1	181.1	187.9	553.1
3.10	184.8	181.7	188.5	555.1
3.14	185.4	182.3	189.1	556.8
3.18	186.0	182.8	189.7	558.5
3.22	186.5	183.4	190.3	560.2
3.26	187.1	184.0	190.9	561.9
3.30	187.7	184.5	191.5	563.7
3.34	188.1	185.0	191.9	565.0
3.38	188.6	185.4	192.4	566.4
3.42	189.0	185.9	192.8	567.7
3.46	189.5	186.3	193.3	569.1
3.50	189.9	186.7	193.7	570.4
3.54	190.3	187.1	194.1	571.5
3.58	190.7	187.5	194.5	572.7
3.62	191.1	187.9	194.9	573.8
3.66	191.4	188.2	195.3	575.0
3.70	191.8	188.6	195.7	576.1
3.74	192.1	188.9	196.0	577.1
3.78	192.4	189.2	196.3	578.0
3.82	192.8	189.5	196.6	578.9
3.86	193.1	189.8	197.0	579.9
3.90	193.4	190.1	197.3	580.8
3.94	193.6	190.4	197.5	581.6
3.98	193.9	190.7	197.8	582.3
4.02	194.2	190.9	198.1	583.1
4.06	194.4	191.2	198.3	583.9
4.10	194.7	191.4	198.6	584.7
4.14	194.9	191.6	198.8	585.3
4.18	195.1	191.8	199.0	585.9
4.22	195.3	192.0	199.2	586.6
4.26	195.5	192.2	199.4	587.2
4.30	195.7	192.4	199.7	587.8
4.34	195.9	192.6	199.8	588.3
4.38	196.0	192.7	200.0	588.7
4.42	196.2	192.9	200.1	589.2
4.46	196.3	193.0	200.3	589.7
4.50	196.5	193.2	200.4	590.1
4.54	196.6	193.3	200.6	590.6
4.58	196.8	193.5	200.7	591.0
4.62	196.9	193.6	200.9	591.4
4.66	197.0	193.7	201.0	591.8
4.70	197.2	193.9	201.2	592.2
4.74	197.3	194.0	201.2	592.5
