#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 7.833E+00 4.981E-03 7.029E+03
1.028E-03 7.811E+00 5.199E-03 6.599E+03
1.056E-03 7.789E+00 5.419E-03 6.206E+03
1.086E-03 7.766E+00 5.659E-03 5.821E+03
1.116E-03 7.744E+00 5.902E-03 5.470E+03
1.147E-03 7.721E+00 6.156E-03 5.138E+03
1.178E-03 7.698E+00 6.412E-03 4.834E+03
1.211E-03 7.674E+00 6.688E-03 4.538E+03
1.245E-03 7.649E+00 6.974E-03 4.260E+03
1.279E-03 7.624E+00 7.263E-03 4.006E+03
1.315E-03 7.597E+00 7.570E-03 3.760E+03
1.351E-03 7.570E+00 7.879E-03 3.535E+03
1.389E-03 7.541E+00 8.207E-03 3.318E+03
1.427E-03 7.511E+00 8.535E-03 3.119E+03
1.467E-03 7.480E+00 8.882E-03 2.928E+03
1.507E-03 7.447E+00 9.228E-03 2.752E+03
1.549E-03 7.413E+00 9.591E-03 2.576E+03
1.592E-03 7.377E+00 9.962E-03 2.412E+03
1.636E-03 7.340E+00 1.034E-02 2.259E+03
1.682E-03 7.301E+00 1.074E-02 2.113E+03
1.728E-03 7.261E+00 1.113E-02 1.980E+03
1.776E-03 7.219E+00 1.154E-02 1.854E+03
1.825E-03 7.175E+00 1.196E-02 1.737E+03
1.876E-03 7.130E+00 1.240E-02 1.625E+03
1.928E-03 7.083E+00 1.284E-02 1.522E+03
1.981E-03 7.035E+00 1.329E-02 1.426E+03
2.036E-03 6.985E+00 1.376E-02 1.333E+03
2.093E-03 6.933E+00 1.425E-02 1.244E+03
2.151E-03 6.880E+00 1.474E-02 1.162E+03
2.211E-03 6.825E+00 1.525E-02 1.085E+03
2.272E-03 6.769E+00 1.576E-02 1.014E+03
2.335E-03 6.711E+00 1.629E-02 9.474E+02
2.400E-03 6.651E+00 1.684E-02 8.848E+02
2.466E-03 6.591E+00 1.739E-02 8.270E+02
