#Photon    Coherent Incoher. Photoel. 
#Energy    Scatter. Scatter. Absorb.  
#
1.000E-03 2.256E+00 1.427E-02 1.183E+03 
1.028E-03 2.243E+00 1.485E-02 1.099E+03 
1.056E-03 2.230E+00 1.544E-02 1.023E+03 
1.086E-03 2.216E+00 1.607E-02 9.488E+02 
1.116E-03 2.203E+00 1.671E-02 8.822E+02 
1.147E-03 2.189E+00 1.737E-02 8.199E+02 
1.178E-03 2.176E+00 1.804E-02 7.635E+02 
1.211E-03 2.162E+00 1.874E-02 7.091E+02 
1.245E-03 2.148E+00 1.947E-02 6.585E+02 
1.279E-03 2.133E+00 2.020E-02 6.128E+02 
1.315E-03 2.118E+00 2.097E-02 5.689E+02 
1.351E-03 2.103E+00 2.173E-02 5.293E+02 
1.389E-03 2.087E+00 2.252E-02 4.915E+02 
1.427E-03 2.071E+00 2.331E-02 4.573E+02 
1.467E-03 2.054E+00 2.412E-02 4.247E+02 
1.507E-03 2.037E+00 2.491E-02 3.952E+02 
1.549E-03 2.019E+00 2.573E-02 3.667E+02 
1.592E-03 2.001E+00 2.656E-02 3.782E+03 
1.636E-03 1.982E+00 2.739E-02 3.563E+03 
1.682E-03 1.963E+00 2.824E-02 3.353E+03 
1.728E-03 1.944E+00 2.908E-02 3.159E+03 
1.776E-03 1.925E+00 2.994E-02 2.972E+03 
1.825E-03 1.906E+00 3.080E-02 2.796E+03 
1.876E-03 1.886E+00 3.168E-02 2.626E+03 
1.928E-03 1.865E+00 3.256E-02 2.465E+03 
1.981E-03 1.845E+00 3.344E-02 2.313E+03 
2.036E-03 1.825E+00 3.433E-02 2.166E+03 
2.093E-03 1.804E+00 3.522E-02 2.025E+03 
2.151E-03 1.783E+00 3.612E-02 1.893E+03 
2.211E-03 1.762E+00 3.702E-02 1.767E+03 
2.272E-03 1.741E+00 3.791E-02 1.648E+03 
2.335E-03 1.720E+00 3.882E-02 1.536E+03 
2.400E-03 1.698E+00 3.973E-02 1.430E+03 
2.466E-03 1.677E+00 4.063E-02 1.332E+03 
2.535E-03 1.656E+00 4.155E-02 1.238E+03 
2.605E-03 1.634E+00 4.247E-02 1.151E+03 
2.677E-03 1.613E+00 4.339E-02 1.070E+03 
2.751E-03 1.591E+00 4.432E-02 9.944E+02 
2.828E-03 1.569E+00 4.527E-02 9.229E+02 
2.906E-03 1.548E+00 4.621E-02 8.574E+02 
2.987E-03 1.526E+00 4.717E-02 7.958E+02 
3.070E-03 1.504E+00 4.813E-02 7.389E+02 
3.155E-03 1.483E+00 4.910E-02 6.862E+02 
3.242E-03 1.461E+00 5.008E-02 6.374E+02 
3.332E-03 1.440E+00 5.108E-02 5.918E+02 
3.424E-03 1.418E+00 5.208E-02 5.496E+02 
3.519E-03 1.397E+00 5.310E-02 5.102E+02 
3.617E-03 1.375E+00 5.414E-02 4.734E+02 
3.717E-03 1.354E+00 5.519E-02 4.394E+02 
3.820E-03 1.332E+00 5.626E-02 4.077E+02 
3.926E-03 1.310E+00 5.734E-02 3.781E+02 
4.035E-03 1.288E+00 5.845E-02 3.506E+02 
4.147E-03 1.267E+00 5.958E-02 3.250E+02 
4.262E-03 1.245E+00 6.073E-02 3.012E+02 
4.380E-03 1.223E+00 6.190E-02 2.790E+02 
4.502E-03 1.201E+00 6.310E-02 2.584E+02 
4.627E-03 1.179E+00 6.431E-02 2.392E+02 
4.755E-03 1.157E+00 6.554E-02 2.215E+02 
4.887E-03 1.134E+00 6.680E-02 2.051E+02 
5.022E-03 1.112E+00 6.808E-02 1.898E+02 
5.162E-03 1.089E+00 6.939E-02 1.756E+02 
5.305E-03 1.067E+00 7.072E-02 1.625E+02 
5.452E-03 1.044E+00 7.207E-02 1.503E+02 
5.603E-03 1.021E+00 7.343E-02 1.390E+02 
5.758E-03 9.984E-01 7.482E-02 1.286E+02 
5.918E-03 9.753E-01 7.624E-02 1.189E+02 
6.082E-03 9.523E-01 7.767E-02 1.099E+02 
6.251E-03 9.292E-01 7.913E-02 1.015E+02 
6.424E-03 9.061E-01 8.059E-02 9.384E+01 
6.602E-03 8.830E-01 8.208E-02 8.671E+01 
6.785E-03 8.599E-01 8.358E-02 8.010E+01 
6.974E-03 8.367E-01 8.511E-02 7.395E+01 
7.167E-03 8.138E-01 8.664E-02 6.830E+01 
7.366E-03 7.910E-01 8.819E-02 6.306E+01 
7.570E-03 7.683E-01 8.974E-02 5.822E+01 
7.780E-03 7.457E-01 9.131E-02 5.373E+01 
7.996E-03 7.233E-01 9.289E-02 4.958E+01 
8.217E-03 7.013E-01 9.446E-02 4.575E+01 
8.445E-03 6.793E-01 9.605E-02 4.221E+01 
8.680E-03 6.576E-01 9.764E-02 3.892E+01 
8.920E-03 6.364E-01 9.922E-02 3.590E+01 
9.168E-03 6.153E-01 1.008E-01 3.310E+01 
9.422E-03 5.948E-01 1.024E-01 3.052E+01 
9.683E-03 5.746E-01 1.040E-01 2.813E+01 
9.952E-03 5.547E-01 1.055E-01 2.593E+01 
1.023E-02 5.354E-01 1.071E-01 2.389E+01 
1.051E-02 5.165E-01 1.086E-01 2.202E+01 
1.080E-02 4.980E-01 1.101E-01 2.028E+01 
1.110E-02 4.800E-01 1.116E-01 1.869E+01 
1.141E-02 4.625E-01 1.131E-01 1.722E+01 
1.173E-02 4.454E-01 1.146E-01 1.585E+01 
1.205E-02 4.288E-01 1.160E-01 1.460E+01 
1.239E-02 4.127E-01 1.174E-01 1.344E+01 
1.273E-02 3.971E-01 1.188E-01 1.237E+01 
1.308E-02 3.820E-01 1.202E-01 1.139E+01 
1.344E-02 3.674E-01 1.215E-01 1.049E+01 
1.382E-02 3.532E-01 1.228E-01 9.650E+00 
1.420E-02 3.396E-01 1.241E-01 8.880E+00 
1.459E-02 3.263E-01 1.253E-01 8.170E+00 
1.500E-02 3.136E-01 1.265E-01 7.515E+00 
