#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 8.055E-01 1.612E-02 1.228E+03
1.028E-03 7.987E-01 1.687E-02 1.133E+03
1.056E-03 7.920E-01 1.764E-02 1.048E+03
1.086E-03 7.851E-01 1.847E-02 9.664E+02
1.116E-03 7.784E-01 1.932E-02 8.929E+02
1.147E-03 7.715E-01 2.021E-02 8.246E+02
1.178E-03 7.648E-01 2.111E-02 7.630E+02
1.211E-03 7.576E-01 2.208E-02 7.041E+02
1.245E-03 7.503E-01 2.309E-02 6.495E+02
1.279E-03 7.430E-01 2.411E-02 6.004E+02
1.315E-03 7.353E-01 2.520E-02 5.536E+02
1.351E-03 7.275E-01 2.629E-02 5.115E+02
1.389E-03 7.194E-01 2.745E-02 4.715E+02
1.427E-03 7.111E-01 2.861E-02 4.355E+02
1.467E-03 7.024E-01 2.983E-02 4.015E+02
1.507E-03 6.936E-01 3.106E-02 3.708E+02
1.549E-03 6.844E-01 3.234E-02 3.418E+02
1.592E-03 6.749E-01 3.365E-02 3.151E+02
1.636E-03 6.651E-01 3.498E-02 2.906E+02
1.682E-03 6.550E-01 3.637E-02 2.675E+02
1.728E-03 6.448E-01 3.774E-02 2.468E+02
1.776E-03 6.344E-01 3.917E-02 2.274E+02
1.825E-03 6.238E-01 4.062E-02 2.096E+02
1.876E-03 6.129E-01 4.211E-02 1.929E+02
1.928E-03 6.020E-01 4.362E-02 1.777E+02
1.981E-03 5.910E-01 4.514E-02 1.637E+02
2.036E-03 5.798E-01 4.670E-02 1.508E+02
2.093E-03 5.684E-01 4.830E-02 1.387E+02
2.151E-03 5.571E-01 4.990E-02 1.277E+02
2.211E-03 5.457E-01 5.154E-02 1.175E+02
2.272E-03 5.343E-01 5.317E-02 1.081E+02
2.335E-03 5.229E-01 5.483E-02 9.952E+01
2.400E-03 5.114E-01 5.652E-02 9.154E+01
2.466E-03 5.001E-01 5.819E-02 8.428E+01
2.535E-03 4.887E-01 5.990E-02 7.747E+01
2.605E-03 4.774E-01 6.160E-02 7.127E+01
2.677E-03 4.662E-01 6.330E-02 6.556E+01
2.751E-03 4.551E-01 6.501E-02 6.030E+01
2.828E-03 4.440E-01 6.673E-02 5.540E+01
2.906E-03 4.331E-01 6.843E-02 5.095E+01
2.987E-03 4.222E-01 7.014E-02 4.681E+01
3.070E-03 4.114E-01 7.183E-02 4.301E+01
3.155E-03 4.009E-01 7.351E-02 3.952E+01
3.242E-03 3.905E-01 7.517E-02 3.633E+01
3.332E-03 3.802E-01 7.682E-02 3.337E+01
3.424E-03 3.702E-01 7.845E-02 3.066E+01
3.519E-03 3.603E-01 8.006E-02 2.815E+01
3.617E-03 3.505E-01 8.167E-02 2.584E+01
3.717E-03 3.411E-01 8.324E-02 2.373E+01
3.820E-03 3.318E-01 8.479E-02 2.179E+01
3.926E-03 3.227E-01 8.631E-02 2.000E+01
4.035E-03 3.138E-01 8.782E-02 1.835E+01
4.147E-03 3.052E-01 8.930E-02 1.684E+01
4.262E-03 2.968E-01 9.075E-02 1.545E+01
4.380E-03 2.886E-01 9.217E-02 1.418E+01
4.502E-03 2.806E-01 9.358E-02 1.300E+01
4.627E-03 2.728E-01 9.496E-02 1.193E+01
4.755E-03 2.653E-01 9.632E-02 1.094E+01
4.887E-03 2.580E-01 9.766E-02 1.003E+01
5.022E-03 2.509E-01 9.897E-02 9.201E+00
5.162E-03 2.439E-01 1.003E-01 8.433E+00
5.305E-03 2.372E-01 1.016E-01 7.732E+00
5.452E-03 2.307E-01 1.028E-01 7.088E+00
5.603E-03 2.244E-01 1.041E-01 6.497E+00
5.758E-03 2.183E-01 1.053E-01 5.956E+00
5.918E-03 2.123E-01 1.066E-01 5.457E+00
6.082E-03 2.065E-01 1.078E-01 5.000E+00
6.251E-03 2.009E-01 1.090E-01 4.581E+00
6.424E-03 1.954E-01 1.102E-01 4.197E+00
6.602E-03 1.901E-01 1.114E-01 3.845E+00
6.785E-03 1.849E-01 1.126E-01 3.521E+00
6.974E-03 1.799E-01 1.137E-01 3.224E+00
7.167E-03 1.749E-01 1.149E-01 2.953E+00
7.366E-03 1.701E-01 1.161E-01 2.703E+00
7.570E-03 1.654E-01 1.172E-01 2.475E+00
7.780E-03 1.608E-01 1.184E-01 2.266E+00
7.996E-03 1.563E-01 1.195E-01 2.074E+00
8.217E-03 1.519E-01 1.207E-01 1.899E+00
8.445E-03 1.476E-01 1.218E-01 1.738E+00
8.680E-03 1.434E-01 1.230E-01 1.590E+00
8.920E-03 1.393E-01 1.241E-01 1.455E+00
9.168E-03 1.352E-01 1.252E-01 1.331E+00
9.422E-03 1.312E-01 1.264E-01 1.218E+00
9.683E-03 1.273E-01 1.275E-01 1.114E+00
9.952E-03 1.234E-01 1.286E-01 1.019E+00
1.023E-02 1.196E-01 1.297E-01 9.321E-01
1.051E-02 1.159E-01 1.308E-01 8.527E-01
1.080E-02 1.123E-01 1.319E-01 7.797E-01
1.110E-02 1.087E-01 1.330E-01 7.132E-01
1.141E-02 1.051E-01 1.340E-01 6.521E-01
1.173E-02 1.016E-01 1.351E-01 5.961E-01
1.205E-02 9.823E-02 1.361E-01 5.451E-01
1.239E-02 9.489E-02 1.372E-01 4.983E-01
1.273E-02 9.161E-02 1.382E-01 4.555E-01
1.308E-02 8.841E-02 1.392E-01 4.164E-01
1.344E-02 8.528E-02 1.401E-01 3.807E-01
1.382E-02 8.221E-02 1.411E-01 3.479E-01
1.420E-02 7.921E-02 1.420E-01 3.180E-01
