#Photon    Coherent Incoher. Photoel. 
#Energy    Scatter. Scatter. Absorb.  
#
1.000E-03 5.918E-01 2.091E-02 6.035E+02 
1.028E-03 5.855E-01 2.182E-02 5.559E+02 
1.056E-03 5.794E-01 2.275E-02 5.131E+02 
1.086E-03 5.731E-01 2.375E-02 4.720E+02 
1.116E-03 5.669E-01 2.476E-02 4.352E+02 
1.147E-03 5.607E-01 2.582E-02 4.010E+02 
1.178E-03 5.546E-01 2.688E-02 3.703E+02 
1.211E-03 5.482E-01 2.802E-02 3.410E+02 
1.245E-03 5.418E-01 2.920E-02 3.139E+02 
1.279E-03 5.354E-01 3.038E-02 2.895E+02 
1.315E-03 5.286E-01 3.162E-02 2.664E+02 
1.351E-03 5.220E-01 3.287E-02 2.457E+02 
1.389E-03 5.150E-01 3.417E-02 2.260E+02 
1.427E-03 5.080E-01 3.547E-02 2.083E+02 
1.467E-03 5.008E-01 3.682E-02 1.916E+02 
1.507E-03 4.935E-01 3.815E-02 1.766E+02 
1.549E-03 4.859E-01 3.953E-02 1.625E+02 
1.592E-03 4.781E-01 4.092E-02 1.495E+02 
1.636E-03 4.703E-01 4.231E-02 1.376E+02 
1.682E-03 4.622E-01 4.374E-02 1.264E+02 
1.728E-03 4.542E-01 4.514E-02 1.164E+02 
1.776E-03 4.461E-01 4.657E-02 1.070E+02 
1.825E-03 4.379E-01 4.800E-02 9.845E+01 
1.876E-03 4.296E-01 4.945E-02 9.045E+01 
1.928E-03 4.214E-01 5.090E-02 8.314E+01 
1.981E-03 4.132E-01 5.233E-02 7.646E+01 
2.036E-03 4.049E-01 5.378E-02 7.025E+01 
2.093E-03 3.966E-01 5.524E-02 6.450E+01 
2.151E-03 3.884E-01 5.668E-02 5.926E+01 
2.211E-03 3.803E-01 5.813E-02 5.440E+01 
2.272E-03 3.723E-01 5.955E-02 4.999E+01 
2.335E-03 3.643E-01 6.098E-02 4.590E+01 
2.400E-03 3.564E-01 6.240E-02 4.213E+01 
2.466E-03 3.486E-01 6.380E-02 3.871E+01 
2.535E-03 3.409E-01 6.521E-02 3.551E+01 
2.605E-03 3.333E-01 6.659E-02 3.260E+01 
2.677E-03 3.259E-01 6.796E-02 2.993E+01 
2.751E-03 3.185E-01 6.931E-02 2.747E+01 
2.828E-03 3.113E-01 7.067E-02 2.518E+01 
2.906E-03 3.042E-01 7.198E-02 2.311E+01 
2.987E-03 2.972E-01 7.330E-02 2.119E+01 
3.070E-03 2.904E-01 7.459E-02 1.943E+01 
3.155E-03 2.838E-01 7.586E-02 1.782E+01 
3.242E-03 2.773E-01 7.711E-02 1.635E+01 
3.332E-03 2.710E-01 7.834E-02 1.499E+01 
3.424E-03 2.648E-01 7.956E-02 1.374E+01 
3.519E-03 2.587E-01 8.077E-02 1.260E+01 
3.617E-03 2.527E-01 8.197E-02 1.154E+01 
3.717E-03 2.470E-01 8.314E-02 1.058E+01 
3.820E-03 2.413E-01 8.431E-02 9.694E+00 
3.926E-03 2.358E-01 8.548E-02 8.882E+00 
4.035E-03 2.304E-01 8.664E-02 8.136E+00 
4.147E-03 2.252E-01 8.779E-02 7.452E+00 
4.262E-03 2.201E-01 8.894E-02 6.826E+00 
4.380E-03 2.151E-01 9.008E-02 6.253E+00 
4.502E-03 2.102E-01 9.123E-02 5.724E+00 
4.627E-03 2.055E-01 9.237E-02 5.241E+00 
4.755E-03 2.009E-01 9.351E-02 4.799E+00 
4.887E-03 1.963E-01 9.466E-02 4.394E+00 
5.022E-03 1.919E-01 9.581E-02 4.023E+00 
5.162E-03 1.875E-01 9.697E-02 3.681E+00 
5.305E-03 1.832E-01 9.813E-02 3.369E+00 
5.452E-03 1.790E-01 9.930E-02 3.084E+00 
5.603E-03 1.749E-01 1.005E-01 2.822E+00 
5.758E-03 1.709E-01 1.017E-01 2.583E+00 
5.918E-03 1.668E-01 1.028E-01 2.363E+00 
