#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 1.174E+00 1.298E-02 3.153E+03
1.028E-03 1.167E+00 1.359E-02 2.928E+03
1.056E-03 1.161E+00 1.421E-02 2.725E+03
1.086E-03 1.155E+00 1.489E-02 2.528E+03
1.116E-03 1.149E+00 1.558E-02 2.350E+03
1.147E-03 1.142E+00 1.631E-02 2.184E+03
1.178E-03 1.136E+00 1.704E-02 2.033E+03
1.211E-03 1.129E+00 1.783E-02 1.887E+03
1.245E-03 1.122E+00 1.865E-02 1.751E+03
1.279E-03 1.115E+00 1.948E-02 1.629E+03
1.315E-03 1.108E+00 2.036E-02 1.511E+03
1.351E-03 1.100E+00 2.125E-02 1.404E+03
1.389E-03 1.092E+00 2.220E-02 1.302E+03
1.427E-03 1.084E+00 2.315E-02 1.209E+03
1.467E-03 1.076E+00 2.415E-02 1.121E+03
1.507E-03 1.067E+00 2.515E-02 1.041E+03
1.549E-03 1.058E+00 2.620E-02 9.648E+02
1.592E-03 1.048E+00 2.727E-02 8.943E+02
1.636E-03 1.038E+00 2.836E-02 8.289E+02
1.682E-03 1.028E+00 2.951E-02 7.671E+02
1.728E-03 1.018E+00 3.064E-02 7.113E+02
1.776E-03 1.007E+00 3.182E-02 6.586E+02
1.825E-03 9.956E-01 3.302E-02 6.099E+02
1.876E-03 9.840E-01 3.426E-02 5.642E+02
1.928E-03 9.722E-01 3.552E-02 5.222E+02
1.981E-03 9.602E-01 3.679E-02 4.834E+02
2.036E-03 9.478E-01 3.810E-02 4.472E+02
2.093E-03 9.350E-01 3.944E-02 4.133E+02
2.151E-03 9.221E-01 4.080E-02 3.823E+02
2.211E-03 9.088E-01 4.219E-02 3.533E+02
2.272E-03 8.955E-01 4.359E-02 3.267E+02
2.335E-03 8.819E-01 4.502E-02 3.020E+02
2.400E-03 8.679E-01 4.647E-02 2.790E+02
2.466E-03 8.540E-01 4.793E-02 2.580E+02
2.535E-03 8.396E-01 4.944E-02 2.382E+02
2.605E-03 8.252E-01 5.095E-02 2.201E+02
2.677E-03 8.106E-01 5.248E-02 2.033E+02
2.751E-03 7.958E-01 5.402E-02 1.878E+02
2.828E-03 7.807E-01 5.560E-02 1.732E+02
2.906E-03 7.656E-01 5.718E-02 1.600E+02
2.987E-03 7.503E-01 5.878E-02 1.476E+02
3.070E-03 7.349E-01 6.040E-02 1.362E+02
3.155E-03 7.195E-01 6.202E-02 1.256E+02
3.242E-03 7.041E-01 6.364E-02 1.159E+02
3.332E-03 6.885E-01 6.529E-02 1.069E+02
3.424E-03 6.729E-01 6.694E-02 9.864E+01
3.519E-03 6.573E-01 6.860E-02 9.094E+01
3.617E-03 6.417E-01 7.028E-02 8.381E+01
3.717E-03 6.261E-01 7.195E-02 7.727E+01
3.820E-03 6.106E-01 7.364E-02 7.121E+01
3.926E-03 5.952E-01 7.533E-02 6.562E+01
4.035E-03 5.798E-01 7.704E-02 6.045E+01
4.147E-03 5.646E-01 7.874E-02 5.569E+01
4.262E-03 5.494E-01 8.045E-02 5.130E+01
4.380E-03 5.345E-01 8.215E-02 4.725E+01
4.502E-03 5.196E-01 8.386E-02 4.350E+01
4.627E-03 5.050E-01 8.557E-02 4.004E+01
4.755E-03 4.906E-01 8.727E-02 3.687E+01
4.887E-03 4.764E-01 8.897E-02 3.394E+01
5.022E-03 4.625E-01 9.066E-02 3.124E+01
5.162E-03 4.487E-01 9.235E-02 2.874E+01
5.305E-03 4.353E-01 9.403E-02 2.644E+01
5.452E-03 4.221E-01 9.569E-02 2.433E+01
5.603E-03 4.092E-01 9.735E-02 2.238E+01
5.758E-03 3.965E-01 9.899E-02 2.059E+01
5.918E-03 3.841E-01 1.006E-01 1.893E+01
6.082E-03 3.720E-01 1.022E-01 1.741E+01
6.251E-03 3.601E-01 1.038E-01 1.600E+01
6.424E-03 3.485E-01 1.054E-01 1.471E+01
6.602E-03 3.372E-01 1.070E-01 1.352E+01
6.785E-03 3.262E-01 1.085E-01 1.243E+01
6.974E-03 3.154E-01 1.101E-01 1.142E+01
7.167E-03 3.049E-01 1.116E-01 1.049E+01
7.366E-03 2.947E-01 1.131E-01 9.642E+00
7.570E-03 2.848E-01 1.146E-01 8.859E+00
7.780E-03 2.752E-01 1.160E-01 8.137E+00
7.996E-03 2.658E-01 1.174E-01 7.473E+00
8.217E-03 2.568E-01 1.188E-01 6.865E+00
8.445E-03 2.480E-01 1.202E-01 6.304E+00
8.680E-03 2.394E-01 1.216E-01 5.786E+00
8.920E-03 2.311E-01 1.229E-01 5.314E+00
9.168E-03 2.231E-01 1.242E-01 4.877E+00
9.422E-03 2.153E-01 1.255E-01 4.477E+00
9.683E-03 2.078E-01 1.268E-01 4.109E+00
9.952E-03 2.005E-01 1.280E-01 3.770E+00
1.023E-02 1.934E-01 1.293E-01 3.459E+00
1.051E-02 1.866E-01 1.305E-01 3.174E+00
1.080E-02 1.799E-01 1.316E-01 2.911E+00
1.110E-02 1.735E-01 1.328E-01 2.671E+00
1.141E-02 1.673E-01 1.339E-01 2.450E+00
1.173E-02 1.613E-01 1.350E-01 2.246E+00
1.205E-02 1.555E-01 1.361E-01 2.060E+00
1.239E-02 1.498E-01 1.372E-01 1.888E+00
