#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 1.079E+00 1.263E-02 2.210E+03
1.028E-03 1.072E+00 1.325E-02 2.044E+03
1.056E-03 1.065E+00 1.388E-02 1.895E+03
1.086E-03 1.057E+00 1.457E-02 1.752E+03
1.116E-03 1.050E+00 1.528E-02 1.622E+03
1.147E-03 1.043E+00 1.602E-02 1.502E+03
1.178E-03 1.035E+00 1.677E-02 1.393E+03
1.211E-03 1.028E+00 1.758E-02 1.288E+03
1.245E-03 1.020E+00 1.843E-02 1.191E+03
1.279E-03 1.012E+00 1.929E-02 1.103E+03
1.315E-03 1.003E+00 2.021E-02 1.019E+03
1.351E-03 9.948E-01 2.114E-02 9.440E+02
1.389E-03 9.857E-01 2.213E-02 8.721E+02
1.427E-03 9.766E-01 2.313E-02 8.073E+02
1.467E-03 9.668E-01 2.419E-02 7.457E+02
1.507E-03 9.569E-01 2.526E-02 6.901E+02
1.549E-03 9.464E-01 2.639E-02 6.374E+02
1.592E-03 9.356E-01 2.755E-02 5.888E+02
1.636E-03 9.244E-01 2.874E-02 5.440E+02
1.682E-03 9.126E-01 2.998E-02 5.018E+02
1.728E-03 9.009E-01 3.123E-02 4.637E+02
1.776E-03 8.886E-01 3.253E-02 4.280E+02
1.825E-03 8.761E-01 3.387E-02 3.951E+02
1.876E-03 8.631E-01 3.525E-02 3.644E+02
1.928E-03 8.499E-01 3.667E-02 3.362E+02
1.981E-03 8.366E-01 3.810E-02 3.103E+02
2.036E-03 8.228E-01 3.959E-02 2.862E+02
2.093E-03 8.087E-01 4.113E-02 2.637E+02
2.151E-03 7.946E-01 4.268E-02 2.432E+02
2.211E-03 7.801E-01 4.428E-02 2.241E+02
2.272E-03 7.657E-01 4.590E-02 2.066E+02
2.335E-03 7.510E-01 4.756E-02 1.904E+02
2.400E-03 7.361E-01 4.926E-02 1.755E+02
2.466E-03 7.213E-01 5.097E-02 1.618E+02
2.535E-03 7.061E-01 5.274E-02 1.489E+02
2.605E-03 6.911E-01 5.451E-02 1.372E+02
2.677E-03 6.760E-01 5.631E-02 1.264E+02
2.751E-03 6.608E-01 5.813E-02 1.165E+02
2.828E-03 6.455E-01 6.001E-02 1.072E+02
2.906E-03 6.304E-01 6.187E-02 9.871E+01
2.987E-03 6.151E-01 6.377E-02 9.083E+01
3.070E-03 5.999E-01 6.569E-02 8.359E+01
3.155E-03 5.849E-01 6.761E-02 7.694E+01
3.242E-03 5.700E-01 6.954E-02 7.084E+01
3.332E-03 5.551E-01 7.148E-02 6.517E+01
3.424E-03 5.404E-01 7.343E-02 5.998E+01
3.519E-03 5.258E-01 7.538E-02 5.517E+01
3.617E-03 5.114E-01 7.734E-02 5.072E+01
3.717E-03 4.972E-01 7.929E-02 4.665E+01
3.820E-03 4.832E-01 8.123E-02 4.290E+01
3.926E-03 4.695E-01 8.317E-02 3.944E+01
4.035E-03 4.559E-01 8.509E-02 3.625E+01
4.147E-03 4.427E-01 8.700E-02 3.332E+01
4.262E-03 4.297E-01 8.889E-02 3.062E+01
4.380E-03 4.170E-01 9.076E-02 2.814E+01
4.502E-03 4.045E-01 9.261E-02 2.585E+01
4.627E-03 3.923E-01 9.444E-02 2.374E+01
4.755E-03 3.805E-01 9.624E-02 2.181E+01
4.887E-03 3.689E-01 9.801E-02 2.003E+01
5.022E-03 3.577E-01 9.975E-02 1.840E+01
5.162E-03 3.467E-01 1.015E-01 1.689E+01
5.305E-03 3.360E-01 1.032E-01 1.551E+01
5.452E-03 3.257E-01 1.048E-01 1.424E+01
5.603E-03 3.156E-01 1.065E-01 1.307E+01
5.758E-03 3.059E-01 1.081E-01 1.200E+01
5.918E-03 2.964E-01 1.096E-01 1.101E+01
6.082E-03 2.872E-01 1.112E-01 1.010E+01
6.251E-03 2.783E-01 1.127E-01 9.268E+00
6.424E-03 2.697E-01 1.142E-01 8.504E+00
6.602E-03 2.614E-01 1.156E-01 7.801E+00
6.785E-03 2.533E-01 1.171E-01 7.155E+00
6.974E-03 2.454E-01 1.185E-01 6.559E+00
7.167E-03 2.378E-01 1.199E-01 6.016E+00
7.366E-03 2.305E-01 1.212E-01 5.515E+00
7.570E-03 2.234E-01 1.226E-01 5.057E+00
7.780E-03 2.164E-01 1.239E-01 4.635E+00
7.996E-03 2.097E-01 1.252E-01 4.248E+00
8.217E-03 2.033E-01 1.265E-01 3.894E+00
8.445E-03 1.970E-01 1.277E-01 3.568E+00
8.680E-03 1.909E-01 1.290E-01 3.269E+00
8.920E-03 1.850E-01 1.302E-01 2.995E+00
9.168E-03 1.792E-01 1.314E-01 2.743E+00
9.422E-03 1.737E-01 1.326E-01 2.513E+00
9.683E-03 1.683E-01 1.338E-01 2.302E+00
9.952E-03 1.630E-01 1.350E-01 2.108E+00
1.023E-02 1.578E-01 1.362E-01 1.931E+00
1.051E-02 1.528E-01 1.373E-01 1.768E+00
1.080E-02 1.479E-01 1.385E-01 1.619E+00
1.110E-02 1.432E-01 1.396E-01 1.482E+00
1.141E-02 1.386E-01 1.407E-01 1.357E+00
1.173E-02 1.340E-01 1.418E-01 1.242E+00
1.205E-02 1.296E-01 1.429E-01 1.137E+00
1.239E-02 1.253E-01 1.440E-01 1.041E+00
1.273E-02 1.211E-01 1.451E-01 9.523E-01
1.308E-02 1.170E-01 1.461E-01 8.714E-01
1.344E-02 1.130E-01 1.471E-01 7.975E-01
1.382E-02 1.091E-01 1.481E-01 7.297E-01
1.420E-02 1.053E-01 1.491E-01 6.676E-01
1.459E-02 1.015E-01 1.501E-01 6.107E-01
1.500E-02 9.787E-02 1.510E-01 5.585E-01
