#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 3.582E+00 1.494E-02 4.862E+03
1.028E-03 3.562E+00 1.543E-02 4.528E+03
1.056E-03 3.542E+00 1.593E-02 4.225E+03
1.086E-03 3.521E+00 1.646E-02 3.931E+03
1.116E-03 3.500E+00 1.699E-02 3.664E+03
1.147E-03 3.480E+00 1.754E-02 3.415E+03
1.178E-03 3.459E+00 1.808E-02 3.188E+03
1.211E-03 3.438E+00 1.866E-02 2.969E+03
1.245E-03 3.416E+00 1.926E-02 2.764E+03
1.279E-03 3.395E+00 1.985E-02 2.579E+03
1.315E-03 3.373E+00 2.047E-02 2.401E+03
1.351E-03 3.350E+00 2.109E-02 2.239E+03
1.389E-03 3.327E+00 2.173E-02 2.085E+03
1.427E-03 3.304E+00 2.237E-02 1.945E+03
1.467E-03 3.279E+00 2.303E-02 1.811E+03
1.507E-03 3.255E+00 2.367E-02 1.689E+03
1.549E-03 3.229E+00 2.434E-02 1.570E+03
1.592E-03 3.203E+00 2.501E-02 1.460E+03
1.636E-03 3.176E+00 2.569E-02 1.358E+03
1.682E-03 3.149E+00 2.638E-02 1.262E+03
1.728E-03 3.121E+00 2.707E-02 1.175E+03
1.776E-03 3.093E+00 2.777E-02 1.092E+03
1.825E-03 3.064E+00 2.849E-02 1.016E+03
1.876E-03 3.034E+00 2.922E-02 9.444E+02
1.928E-03 3.004E+00 2.997E-02 8.783E+02
1.981E-03 2.974E+00 3.073E-02 8.173E+02
2.036E-03 2.943E+00 3.151E-02 7.592E+02
2.093E-03 2.911E+00 3.232E-02 7.043E+02
2.151E-03 2.879E+00 3.315E-02 6.540E+02
2.211E-03 2.847E+00 3.399E-02 6.069E+02
2.272E-03 2.815E+00 3.486E-02 5.637E+02
2.335E-03 2.782E+00 3.574E-02 5.233E+02
2.400E-03 2.748E+00 3.665E-02 4.858E+02
2.466E-03 2.715E+00 3.757E-02 4.513E+02
2.535E-03 2.680E+00 3.852E-02 4.187E+02
2.605E-03 2.646E+00 3.949E-02 3.889E+02
2.677E-03 2.611E+00 4.047E-02 3.611E+02
2.751E-03 2.576E+00 4.148E-02 3.353E+02
2.828E-03 2.540E+00 4.252E-02 3.111E+02
2.906E-03 2.505E+00 4.356E-02 2.890E+02
2.987E-03 2.469E+00 4.464E-02 2.682E+02
3.070E-03 2.432E+00 4.573E-02 2.487E+02
3.155E-03 2.396E+00 4.683E-02 2.306E+02
3.242E-03 2.359E+00 4.795E-02 2.139E+02
3.332E-03 2.321E+00 4.910E-02 1.983E+02
3.424E-03 2.283E+00 5.025E-02 1.840E+02
3.519E-03 2.244E+00 5.143E-02 1.706E+02
3.617E-03 2.204E+00 5.263E-02 1.581E+02
3.717E-03 2.164E+00 5.384E-02 1.466E+02
3.820E-03 2.123E+00 5.507E-02 1.360E+02
3.926E-03 2.080E+00 5.631E-02 1.261E+02
4.035E-03 2.037E+00 5.756E-02 1.169E+02
4.147E-03 1.994E+00 5.883E-02 9.570E+02
4.262E-03 1.953E+00 6.012E-02 8.950E+02
4.380E-03 1.912E+00 6.142E-02 8.370E+02
4.502E-03 1.872E+00 6.275E-02 7.821E+02
4.627E-03 1.832E+00 6.409E-02 7.307E+02
4.755E-03 1.792E+00 6.544E-02 6.825E+02
4.887E-03 1.753E+00 6.680E-02 6.368E+02
5.022E-03 1.714E+00 6.817E-02 5.940E+02
5.162E-03 1.675E+00 6.955E-02 5.533E+02
5.305E-03 1.636E+00 7.094E-02 5.152E+02
5.452E-03 1.597E+00 7.233E-02 4.794E+02
5.603E-03 1.559E+00 7.372E-02 4.459E+02
5.758E-03 1.521E+00 7.511E-02 4.147E+02
5.918E-03 1.483E+00 7.651E-02 3.855E+02
6.082E-03 1.447E+00 7.791E-02 3.584E+02
6.251E-03 1.410E+00 7.931E-02 3.331E+02
6.424E-03 1.375E+00 8.071E-02 3.097E+02
6.602E-03 1.340E+00 8.210E-02 2.878E+02
6.785E-03 1.306E+00 8.349E-02 2.675E+02
6.974E-03 1.273E+00 8.488E-02 2.485E+02
