#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 7.827E+00 5.379E-03 7.345E+03
1.028E-03 7.804E+00 5.607E-03 6.898E+03
1.056E-03 7.782E+00 5.839E-03 6.490E+03
1.086E-03 7.758E+00 6.089E-03 6.089E+03
1.116E-03 7.735E+00 6.343E-03 5.724E+03
1.147E-03 7.711E+00 6.607E-03 5.378E+03
1.178E-03 7.688E+00 6.874E-03 5.062E+03
1.211E-03 7.663E+00 7.160E-03 4.754E+03
1.245E-03 7.637E+00 7.456E-03 4.464E+03
1.279E-03 7.611E+00 7.753E-03 4.199E+03
1.315E-03 7.584E+00 8.069E-03 3.943E+03
1.351E-03 7.556E+00 8.385E-03 3.708E+03
1.389E-03 7.526E+00 8.718E-03 3.481E+03
1.427E-03 7.495E+00 9.051E-03 3.274E+03
1.467E-03 7.463E+00 9.400E-03 3.075E+03
1.507E-03 7.430E+00 9.746E-03 2.891E+03
1.549E-03 7.395E+00 1.011E-02 2.707E+03
1.592E-03 7.358E+00 1.047E-02 2.534E+03
1.636E-03 7.320E+00 1.085E-02 2.374E+03
1.682E-03 7.280E+00 1.123E-02 2.221E+03
1.728E-03 7.240E+00 1.162E-02 2.082E+03
1.776E-03 7.197E+00 1.202E-02 1.950E+03
1.825E-03 7.154E+00 1.242E-02 1.826E+03
1.876E-03 7.108E+00 1.284E-02 1.710E+03
1.928E-03 7.061E+00 1.326E-02 1.601E+03
1.981E-03 7.014E+00 1.369E-02 1.500E+03
2.036E-03 6.964E+00 1.414E-02 1.403E+03
2.093E-03 6.913E+00 1.460E-02 1.310E+03
2.151E-03 6.861E+00 1.506E-02 1.224E+03
2.211E-03 6.807E+00 1.554E-02 1.143E+03
2.272E-03 6.752E+00 1.603E-02 1.068E+03
2.335E-03 6.695E+00 1.653E-02 9.978E+02
2.400E-03 6.637E+00 1.704E-02 9.320E+02
2.466E-03 6.578E+00 1.756E-02 8.712E+02
2.535E-03 6.516E+00 1.810E-02 8.134E+02
2.605E-03 6.454E+00 1.864E-02 7.602E+02
2.677E-03 6.390E+00 1.920E-02 7.104E+02
2.751E-03 6.325E+00 1.977E-02 6.638E+02
2.828E-03 6.257E+00 2.036E-02 6.198E+02
2.906E-03 6.189E+00 2.095E-02 5.793E+02
2.987E-03 6.119E+00 2.157E-02 5.410E+02
3.070E-03 6.047E+00 2.219E-02 5.047E+02
3.155E-03 5.974E+00 2.283E-02 4.708E+02
3.242E-03 5.900E+00 2.347E-02 4.393E+02
3.332E-03 5.825E+00 2.413E-02 4.097E+02
3.424E-03 5.749E+00 2.481E-02 3.823E+02
3.519E-03 5.672E+00 2.550E-02 3.566E+02
3.617E-03 5.594E+00 2.620E-02 1.085E+03
3.717E-03 5.515E+00 2.691E-02 1.014E+03
3.820E-03 5.434E+00 2.765E-02 1.303E+03
3.926E-03 5.351E+00 2.839E-02 1.219E+03
4.035E-03 5.266E+00 2.914E-02 1.307E+03
4.147E-03 5.181E+00 2.991E-02 1.221E+03
4.262E-03 5.096E+00 3.068E-02 1.140E+03
4.380E-03 5.011E+00 3.148E-02 1.064E+03
4.502E-03 4.925E+00 3.229E-02 9.936E+02
4.627E-03 4.840E+00 3.312E-02 9.277E+02
4.755E-03 4.754E+00 3.396E-02 8.664E+02
4.887E-03 4.667E+00 3.482E-02 8.090E+02
5.022E-03 4.581E+00 3.569E-02 7.553E+02
5.162E-03 4.493E+00 3.657E-02 7.031E+02
5.305E-03 4.406E+00 3.747E-02 6.548E+02
5.452E-03 4.319E+00 3.838E-02 6.098E+02
5.603E-03 4.232E+00 3.931E-02 5.680E+02
5.758E-03 4.145E+00 4.025E-02 5.290E+02
5.918E-03 4.058E+00 4.121E-02 4.926E+02
6.082E-03 3.972E+00 4.218E-02 4.585E+02
6.251E-03 3.886E+00 4.317E-02 4.265E+02
6.424E-03 3.802E+00 4.418E-02 3.968E+02
6.602E-03 3.718E+00 4.520E-02 3.691E+02
6.785E-03 3.635E+00 4.623E-02 3.434E+02
6.974E-03 3.552E+00 4.729E-02 3.193E+02
7.167E-03 3.471E+00 4.835E-02 2.971E+02
7.366E-03 3.390E+00 4.943E-02 2.763E+02
7.570E-03 3.311E+00 5.052E-02 2.571E+02
7.780E-03 3.233E+00 5.163E-02 2.392E+02
7.996E-03 3.156E+00 5.274E-02 2.225E+02
8.217E-03 3.080E+00 5.386E-02 2.067E+02
8.445E-03 3.005E+00 5.500E-02 1.920E+02
8.680E-03 2.931E+00 5.615E-02 1.783E+02
8.920E-03 2.859E+00 5.729E-02 1.657E+02
9.168E-03 2.788E+00 5.845E-02 1.539E+02
9.422E-03 2.718E+00 5.961E-02 1.430E+02
9.683E-03 2.649E+00 6.077E-02 1.328E+02
9.952E-03 2.581E+00 6.194E-02 1.234E+02
1.023E-02 2.515E+00 6.310E-02 1.145E+02
1.051E-02 2.450E+00 6.426E-02 1.062E+02
1.080E-02 2.385E+00 6.543E-02 9.851E+01
1.110E-02 2.322E+00 6.659E-02 9.140E+01
1.141E-02 2.260E+00 6.774E-02 8.478E+01
1.173E-02 2.199E+00 6.890E-02 7.864E+01
1.205E-02 2.139E+00 7.005E-02 7.295E+01
1.239E-02 2.079E+00 7.119E-02 6.768E+01
1.273E-02 2.021E+00 7.233E-02 6.278E+01
1.308E-02 1.963E+00 7.346E-02 5.824E+01
1.344E-02 1.906E+00 7.459E-02 5.403E+01
1.382E-02 1.850E+00 7.571E-02 5.012E+01
1.420E-02 1.795E+00 7.682E-02 4.650E+01
1.459E-02 1.741E+00 7.792E-02 4.314E+01
1.500E-02 1.687E+00 7.902E-02 4.001E+01
