#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 4.659E+00 8.041E-03 9.790E+03
1.028E-03 4.642E+00 8.372E-03 9.161E+03
1.056E-03 4.625E+00 8.706E-03 8.588E+03
1.086E-03 4.607E+00 9.069E-03 8.028E+03
1.116E-03 4.590E+00 9.434E-03 7.519E+03
1.147E-03 4.573E+00 9.815E-03 7.039E+03
1.178E-03 4.556E+00 1.020E-02 6.602E+03
1.211E-03 4.537E+00 1.061E-02 6.178E+03
1.245E-03 4.518E+00 1.103E-02 5.780E+03
1.279E-03 4.499E+00 1.145E-02 5.417E+03
1.315E-03 4.479E+00 1.190E-02 5.067E+03
1.351E-03 4.459E+00 1.235E-02 4.748E+03
1.389E-03 4.438E+00 1.282E-02 4.442E+03
1.427E-03 4.416E+00 1.329E-02 4.163E+03
1.467E-03 4.393E+00 1.377E-02 3.895E+03
1.507E-03 4.369E+00 1.426E-02 3.648E+03
1.549E-03 4.345E+00 1.476E-02 3.402E+03
1.592E-03 4.319E+00 1.526E-02 3.173E+03
1.636E-03 4.292E+00 1.578E-02 2.960E+03
1.682E-03 4.264E+00 1.631E-02 2.758E+03
1.728E-03 4.236E+00 1.683E-02 2.575E+03
1.776E-03 4.207E+00 1.737E-02 2.402E+03
1.825E-03 4.177E+00 1.792E-02 2.241E+03
1.876E-03 4.146E+00 1.848E-02 2.089E+03
1.928E-03 4.114E+00 1.905E-02 1.949E+03
1.981E-03 4.082E+00 1.963E-02 1.819E+03
2.036E-03 4.048E+00 2.022E-02 1.693E+03
2.093E-03 4.014E+00 2.084E-02 1.574E+03
2.151E-03 3.979E+00 2.146E-02 1.465E+03
2.211E-03 3.943E+00 2.209E-02 1.362E+03
2.272E-03 3.907E+00 2.274E-02 1.268E+03
2.335E-03 3.870E+00 2.340E-02 1.180E+03
2.400E-03 3.831E+00 2.408E-02 1.097E+03
2.466E-03 3.793E+00 2.477E-02 1.022E+03
2.535E-03 3.753E+00 2.548E-02 9.500E+02
2.605E-03 3.713E+00 2.620E-02 8.842E+02
2.677E-03 3.672E+00 2.693E-02 8.228E+02
2.751E-03 3.630E+00 2.769E-02 7.657E+02
2.828E-03 3.587E+00 2.847E-02 7.120E+02
2.906E-03 3.543E+00 2.925E-02 6.627E+02
2.987E-03 3.499E+00 3.007E-02 6.164E+02
3.070E-03 3.454E+00 3.089E-02 5.725E+02
3.155E-03 3.408E+00 3.174E-02 5.318E+02
3.242E-03 3.362E+00 3.260E-02 4.941E+02
3.332E-03 3.314E+00 3.349E-02 4.588E+02
3.424E-03 3.266E+00 3.438E-02 4.263E+02
3.519E-03 3.218E+00 3.531E-02 3.959E+02
3.617E-03 3.168E+00 3.625E-02 3.675E+02
3.717E-03 3.118E+00 3.721E-02 3.414E+02
3.820E-03 3.068E+00 3.819E-02 3.171E+02
3.926E-03 3.016E+00 3.919E-02 2.945E+02
4.035E-03 2.964E+00 4.021E-02 2.734E+02
4.147E-03 2.912E+00 4.125E-02 2.536E+02
4.262E-03 2.859E+00 4.230E-02 2.352E+02
4.380E-03 2.805E+00 4.337E-02 2.182E+02
4.502E-03 2.751E+00 4.447E-02 2.024E+02
4.627E-03 2.697E+00 4.558E-02 1.877E+02
4.755E-03 2.642E+00 4.670E-02 1.742E+02
4.887E-03 2.587E+00 4.785E-02 1.616E+02
5.022E-03 2.533E+00 4.900E-02 1.499E+02
5.162E-03 2.477E+00 5.018E-02 1.389E+02
5.305E-03 2.422E+00 5.137E-02 1.287E+02
5.452E-03 2.367E+00 5.258E-02 1.193E+02
5.603E-03 2.312E+00 5.380E-02 1.106E+02
5.758E-03 2.256E+00 5.504E-02 1.026E+02
5.918E-03 2.201E+00 5.629E-02 9.505E+01
6.082E-03 2.146E+00 5.756E-02 8.807E+01
6.251E-03 2.091E+00 5.884E-02 8.157E+01
6.424E-03 2.037E+00 6.014E-02 7.556E+01
6.602E-03 1.983E+00 6.145E-02 7.000E+01
6.785E-03 1.930E+00 6.277E-02 6.484E+01
6.974E-03 1.877E+00 6.411E-02 6.004E+01
7.167E-03 1.825E+00 6.545E-02 5.562E+01
7.366E-03 1.774E+00 6.680E-02 5.151E+01
7.570E-03 1.724E+00 6.816E-02 4.772E+01
7.780E-03 1.675E+00 6.953E-02 3.459E+02
7.996E-03 1.627E+00 7.090E-02 3.235E+02
8.217E-03 1.579E+00 7.228E-02 3.024E+02
8.445E-03 1.532E+00 7.367E-02 2.824E+02
8.680E-03 1.486E+00 7.506E-02 2.636E+02
8.920E-03 1.441E+00 7.646E-02 2.459E+02
9.168E-03 1.397E+00 7.786E-02 2.292E+02
9.422E-03 1.353E+00 7.925E-02 2.135E+02
9.683E-03 1.311E+00 8.064E-02 1.989E+02
9.952E-03 1.270E+00 8.204E-02 1.851E+02
1.023E-02 1.230E+00 8.342E-02 1.723E+02
1.051E-02 1.192E+00 8.479E-02 1.603E+02
1.080E-02 1.154E+00 8.616E-02 1.491E+02
1.110E-02 1.117E+00 8.752E-02 1.386E+02
1.141E-02 1.082E+00 8.886E-02 1.288E+02
1.173E-02 1.047E+00 9.020E-02 1.197E+02
1.205E-02 1.014E+00 9.153E-02 1.112E+02
1.239E-02 9.813E-01 9.284E-02 1.032E+02
1.273E-02 9.497E-01 9.414E-02 9.585E+01
1.308E-02 9.190E-01 9.543E-02 8.897E+01
1.344E-02 8.893E-01 9.669E-02 8.258E+01
1.382E-02 8.603E-01 9.795E-02 7.662E+01
1.420E-02 8.322E-01 9.919E-02 7.108E+01
1.459E-02 8.049E-01 1.004E-01 6.592E+01
1.500E-02 7.783E-01 1.016E-01 6.113E+01
