#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 4.141E+00 8.544E-03 7.401E+03
1.028E-03 4.124E+00 8.886E-03 6.908E+03
1.056E-03 4.108E+00 9.231E-03 6.460E+03
1.086E-03 4.090E+00 9.604E-03 6.024E+03
1.116E-03 4.074E+00 9.981E-03 5.628E+03
1.147E-03 4.057E+00 1.037E-02 5.256E+03
1.178E-03 4.040E+00 1.077E-02 4.917E+03
1.211E-03 4.022E+00 1.119E-02 4.590E+03
1.245E-03 4.004E+00 1.163E-02 4.283E+03
1.279E-03 3.985E+00 1.207E-02 4.005E+03
1.315E-03 3.966E+00 1.253E-02 3.737E+03
1.351E-03 3.946E+00 1.299E-02 3.493E+03
1.389E-03 3.925E+00 1.348E-02 3.260E+03
1.427E-03 3.905E+00 1.397E-02 3.047E+03
1.467E-03 3.882E+00 1.449E-02 2.844E+03
1.507E-03 3.860E+00 1.499E-02 2.658E+03
1.549E-03 3.836E+00 1.553E-02 2.475E+03
1.592E-03 3.811E+00 1.607E-02 2.305E+03
1.636E-03 3.786E+00 1.661E-02 2.147E+03
1.682E-03 3.759E+00 1.718E-02 1.998E+03
1.728E-03 3.732E+00 1.775E-02 1.863E+03
1.776E-03 3.704E+00 1.834E-02 1.735E+03
1.825E-03 3.675E+00 1.894E-02 1.616E+03
1.876E-03 3.645E+00 1.956E-02 1.505E+03
1.928E-03 3.615E+00 2.019E-02 1.401E+03
1.981E-03 3.584E+00 2.083E-02 1.306E+03
2.036E-03 3.552E+00 2.149E-02 1.215E+03
2.093E-03 3.519E+00 2.218E-02 1.128E+03
2.151E-03 3.486E+00 2.287E-02 1.049E+03
2.211E-03 3.451E+00 2.359E-02 9.743E+02
2.272E-03 3.416E+00 2.432E-02 9.059E+02
2.335E-03 3.381E+00 2.507E-02 8.420E+02
2.400E-03 3.344E+00 2.584E-02 7.824E+02
2.466E-03 3.307E+00 2.663E-02 7.277E+02
2.535E-03 3.269E+00 2.744E-02 6.759E+02
2.605E-03 3.230E+00 2.826E-02 6.284E+02
2.677E-03 3.191E+00 2.910E-02 5.843E+02
2.751E-03 3.150E+00 2.995E-02 5.432E+02
2.828E-03 3.109E+00 3.084E-02 5.045E+02
2.906E-03 3.068E+00 3.173E-02 4.691E+02
2.987E-03 3.025E+00 3.265E-02 4.359E+02
3.070E-03 2.982E+00 3.359E-02 4.045E+02
3.155E-03 2.938E+00 3.454E-02 3.754E+02
3.242E-03 2.894E+00 3.550E-02 3.485E+02
3.332E-03 2.849E+00 3.649E-02 3.234E+02
3.424E-03 2.803E+00 3.749E-02 3.001E+02
3.519E-03 2.757E+00 3.852E-02 2.785E+02
3.617E-03 2.710E+00 3.957E-02 2.584E+02
3.717E-03 2.662E+00 4.063E-02 2.398E+02
3.820E-03 2.614E+00 4.171E-02 2.225E+02
3.926E-03 2.565E+00 4.281E-02 2.065E+02
4.035E-03 2.516E+00 4.393E-02 1.915E+02
4.147E-03 2.466E+00 4.507E-02 1.775E+02
4.262E-03 2.416E+00 4.623E-02 1.646E+02
4.380E-03 2.366E+00 4.740E-02 1.526E+02
4.502E-03 2.316E+00 4.859E-02 1.414E+02
4.627E-03 2.266E+00 4.980E-02 1.311E+02
4.755E-03 2.217E+00 5.101E-02 1.216E+02
4.887E-03 2.169E+00 5.224E-02 1.127E+02
5.022E-03 2.121E+00 5.348E-02 1.045E+02
5.162E-03 2.074E+00 5.473E-02 9.676E+01
5.305E-03 2.027E+00 5.599E-02 8.964E+01
5.452E-03 1.979E+00 5.727E-02 8.305E+01
5.603E-03 1.931E+00 5.857E-02 7.694E+01
5.758E-03 1.882E+00 5.990E-02 7.129E+01
5.918E-03 1.831E+00 6.127E-02 6.603E+01
6.082E-03 1.779E+00 6.267E-02 5.143E+02
6.251E-03 1.728E+00 6.408E-02 5.058E+02
6.424E-03 1.680E+00 6.547E-02 4.875E+02
6.602E-03 1.634E+00 6.686E-02 4.619E+02
6.785E-03 1.590E+00 6.825E-02 4.314E+02
6.974E-03 1.547E+00 6.964E-02 3.982E+02
7.167E-03 1.505E+00 7.102E-02 3.647E+02
7.366E-03 1.464E+00 7.241E-02 3.322E+02
7.570E-03 1.424E+00 7.379E-02 3.019E+02
7.780E-03 1.385E+00 7.517E-02 2.744E+02
7.996E-03 1.347E+00 7.655E-02 2.503E+02
8.217E-03 1.308E+00 7.794E-02 2.298E+02
8.445E-03 1.271E+00 7.933E-02 2.121E+02
8.680E-03 1.234E+00 8.072E-02 1.965E+02
8.920E-03 1.197E+00 8.211E-02 1.829E+02
9.168E-03 1.162E+00 8.350E-02 1.706E+02
9.422E-03 1.127E+00 8.488E-02 1.594E+02
9.683E-03 1.093E+00 8.625E-02 1.490E+02
9.952E-03 1.060E+00 8.761E-02 1.393E+02
1.023E-02 1.028E+00 8.896E-02 1.300E+02
1.051E-02 9.975E-01 9.029E-02 1.212E+02
1.080E-02 9.674E-01 9.161E-02 1.128E+02
1.110E-02 9.383E-01 9.292E-02 1.049E+02
1.141E-02 9.100E-01 9.421E-02 9.739E+01
1.173E-02 8.823E-01 9.549E-02 9.035E+01
1.205E-02 8.555E-01 9.675E-02 8.376E+01
1.239E-02 8.293E-01 9.799E-02 7.760E+01
1.273E-02 8.038E-01 9.923E-02 7.183E+01
1.308E-02 7.789E-01 1.004E-01 6.647E+01
