#Photon    Coherent Incoher. Photoel. 
#Energy    Scatter. Scatter. Absorb.  
#
1.000E-03 5.054E+00 5.914E-03 1.057E+04 
1.028E-03 5.041E+00 6.180E-03 9.802E+03 
1.056E-03 5.027E+00 6.449E-03 9.113E+03 
1.086E-03 5.013E+00 6.740E-03 8.449E+03 
1.116E-03 4.999E+00 7.033E-03 8.947E+03 
1.147E-03 4.984E+00 7.337E-03 8.380E+03 
1.178E-03 4.970E+00 7.642E-03 7.863E+03 
1.211E-03 4.954E+00 7.968E-03 7.360E+03 
1.245E-03 4.937E+00 8.306E-03 6.889E+03 
1.279E-03 4.920E+00 8.644E-03 6.459E+03 
1.315E-03 4.902E+00 9.003E-03 6.045E+03 
1.351E-03 4.884E+00 9.363E-03 5.667E+03 
1.389E-03 4.864E+00 9.744E-03 5.304E+03 
1.427E-03 4.844E+00 1.013E-02 4.972E+03 
1.467E-03 4.823E+00 1.053E-02 4.654E+03 
1.507E-03 4.802E+00 1.093E-02 4.362E+03 
1.549E-03 4.779E+00 1.135E-02 4.072E+03 
1.592E-03 4.756E+00 1.179E-02 3.803E+03 
1.636E-03 4.732E+00 1.223E-02 3.552E+03 
1.682E-03 4.706E+00 1.270E-02 3.314E+03 
1.728E-03 4.680E+00 1.316E-02 3.098E+03 
1.776E-03 4.653E+00 1.365E-02 2.893E+03 
1.825E-03 4.625E+00 1.414E-02 2.702E+03 
1.876E-03 4.596E+00 1.466E-02 2.522E+03 
1.928E-03 4.567E+00 1.518E-02 2.356E+03 
1.981E-03 4.536E+00 1.572E-02 2.201E+03 
2.036E-03 4.504E+00 1.628E-02 2.051E+03 
2.093E-03 4.471E+00 1.685E-02 1.909E+03 
2.151E-03 4.438E+00 1.744E-02 1.777E+03 
2.211E-03 4.403E+00 1.804E-02 1.654E+03 
2.272E-03 4.368E+00 1.865E-02 1.540E+03 
2.335E-03 4.331E+00 1.929E-02 1.434E+03 
2.400E-03 4.293E+00 1.994E-02 1.335E+03 
2.466E-03 4.255E+00 2.060E-02 1.243E+03 
2.535E-03 4.214E+00 2.129E-02 1.157E+03 
2.605E-03 4.174E+00 2.199E-02 1.077E+03 
2.677E-03 4.132E+00 2.270E-02 1.003E+03 
2.751E-03 4.089E+00 2.343E-02 9.342E+02 
2.828E-03 4.045E+00 2.419E-02 8.692E+02 
2.906E-03 4.000E+00 2.495E-02 8.095E+02 
2.987E-03 3.954E+00 2.575E-02 7.534E+02 
3.070E-03 3.906E+00 2.655E-02 7.001E+02 
3.155E-03 3.858E+00 2.737E-02 6.506E+02 
3.242E-03 3.809E+00 2.821E-02 6.047E+02 
3.332E-03 3.759E+00 2.907E-02 5.619E+02 
3.424E-03 3.708E+00 2.994E-02 5.222E+02 
3.519E-03 3.656E+00 3.084E-02 4.852E+02 
3.617E-03 3.603E+00 3.176E-02 4.507E+02 
3.717E-03 3.549E+00 3.269E-02 4.188E+02 
3.820E-03 3.494E+00 3.363E-02 3.892E+02 
3.926E-03 3.438E+00 3.460E-02 3.616E+02 
4.035E-03 3.381E+00 3.559E-02 3.358E+02 
4.147E-03 3.324E+00 3.659E-02 3.116E+02 
4.262E-03 3.266E+00 3.761E-02 2.892E+02 
4.380E-03 3.207E+00 3.864E-02 2.684E+02 
4.502E-03 3.147E+00 3.970E-02 2.490E+02 
4.627E-03 3.087E+00 4.078E-02 2.311E+02 
4.755E-03 3.026E+00 4.186E-02 2.145E+02 
4.887E-03 2.965E+00 4.297E-02 1.990E+02 
5.022E-03 2.904E+00 4.409E-02 1.847E+02 
5.162E-03 2.842E+00 4.523E-02 1.712E+02 
5.305E-03 2.780E+00 4.639E-02 1.588E+02 
5.452E-03 2.718E+00 4.756E-02 1.473E+02 
5.603E-03 2.656E+00 4.875E-02 1.366E+02 
5.758E-03 2.594E+00 4.996E-02 1.267E+02 
5.918E-03 2.531E+00 5.119E-02 1.174E+02 
6.082E-03 2.469E+00 5.243E-02 1.089E+02 
6.251E-03 2.407E+00 5.369E-02 1.008E+02 
6.424E-03 2.345E+00 5.496E-02 9.343E+01 
6.602E-03 2.284E+00 5.625E-02 8.656E+01 
6.785E-03 2.223E+00 5.756E-02 8.019E+01 
6.974E-03 2.162E+00 5.888E-02 7.427E+01 
7.167E-03 2.103E+00 6.021E-02 6.881E+01 
7.366E-03 2.044E+00 6.156E-02 6.375E+01 
7.570E-03 1.986E+00 6.292E-02 5.906E+01 
7.780E-03 1.929E+00 6.429E-02 5.472E+01 
7.996E-03 1.873E+00 6.567E-02 5.069E+01 
8.217E-03 1.818E+00 6.705E-02 4.694E+01 
8.445E-03 1.764E+00 6.845E-02 4.346E+01 
8.680E-03 1.711E+00 6.986E-02 4.023E+01 
8.920E-03 1.659E+00 7.127E-02 3.725E+01 
9.168E-03 1.607E+00 7.270E-02 2.635E+02 
9.422E-03 1.556E+00 7.413E-02 2.472E+02 
9.683E-03 1.507E+00 7.556E-02 2.317E+02 
9.952E-03 1.458E+00 7.700E-02 2.170E+02 
1.023E-02 1.411E+00 7.844E-02 2.030E+02 
1.051E-02 1.366E+00 7.986E-02 1.896E+02 
1.080E-02 1.321E+00 8.129E-02 1.769E+02 
1.110E-02 1.278E+00 8.271E-02 1.650E+02 
1.141E-02 1.236E+00 8.412E-02 1.536E+02 
1.173E-02 1.195E+00 8.553E-02 1.429E+02 
