#Photon    Coherent Incoher. Photoel. 
#Energy    Scatter. Scatter. Absorb.  
#
1.000E-03 1.130E+00 1.615E-02 2.747E+03 
1.028E-03 1.123E+00 1.695E-02 2.548E+03 
1.056E-03 1.117E+00 1.776E-02 2.368E+03 
1.086E-03 1.111E+00 1.865E-02 2.194E+03 
1.116E-03 1.104E+00 1.955E-02 2.037E+03 
1.147E-03 1.098E+00 2.051E-02 1.891E+03 
1.178E-03 1.091E+00 2.147E-02 1.758E+03 
1.211E-03 1.084E+00 2.252E-02 1.630E+03 
1.245E-03 1.077E+00 2.361E-02 1.511E+03 
1.279E-03 1.070E+00 2.471E-02 1.403E+03 
1.315E-03 1.063E+00 2.590E-02 1.300E+03 
1.351E-03 1.055E+00 2.710E-02 1.207E+03 
1.389E-03 1.047E+00 2.837E-02 1.118E+03 
1.427E-03 1.039E+00 2.966E-02 1.037E+03 
1.467E-03 1.030E+00 3.102E-02 9.601E+02 
1.507E-03 1.021E+00 3.240E-02 8.907E+02 
1.549E-03 1.011E+00 3.384E-02 8.246E+02 
1.592E-03 1.001E+00 3.533E-02 7.635E+02 
1.636E-03 9.911E-01 3.685E-02 7.069E+02 
1.682E-03 9.803E-01 3.845E-02 6.536E+02 
1.728E-03 9.694E-01 4.005E-02 6.053E+02 
1.776E-03 9.581E-01 4.171E-02 5.599E+02 
1.825E-03 9.464E-01 4.341E-02 5.180E+02 
1.876E-03 9.343E-01 4.518E-02 4.787E+02 
1.928E-03 9.219E-01 4.698E-02 4.426E+02 
1.981E-03 9.094E-01 4.880E-02 4.094E+02 
2.036E-03 8.964E-01 5.069E-02 3.783E+02 
2.093E-03 8.830E-01 5.263E-02 3.494E+02 
2.151E-03 8.695E-01 5.459E-02 3.228E+02 
2.211E-03 8.557E-01 5.661E-02 2.981E+02 
2.272E-03 8.417E-01 5.864E-02 2.754E+02 
2.335E-03 8.275E-01 6.072E-02 2.543E+02 
2.400E-03 8.130E-01 6.284E-02 2.348E+02 
2.466E-03 7.985E-01 6.496E-02 2.169E+02 
2.535E-03 7.835E-01 6.716E-02 2.001E+02 
2.605E-03 7.686E-01 6.935E-02 1.847E+02 
2.677E-03 7.535E-01 7.157E-02 1.705E+02 
