#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 4.537E+00 8.777E-03 9.081E+03
1.028E-03 4.519E+00 9.131E-03 8.492E+03
1.056E-03 4.501E+00 9.489E-03 7.956E+03
1.086E-03 4.483E+00 9.877E-03 7.433E+03
1.116E-03 4.465E+00 1.027E-02 6.958E+03
1.147E-03 4.447E+00 1.067E-02 6.511E+03
1.178E-03 4.429E+00 1.108E-02 6.103E+03
1.211E-03 4.410E+00 1.152E-02 5.707E+03
1.245E-03 4.390E+00 1.197E-02 5.336E+03
1.279E-03 4.371E+00 1.242E-02 4.999E+03
1.315E-03 4.350E+00 1.290E-02 4.673E+03
1.351E-03 4.329E+00 1.337E-02 4.377E+03
1.389E-03 4.307E+00 1.387E-02 4.092E+03
1.427E-03 4.285E+00 1.436E-02 3.833E+03
1.467E-03 4.261E+00 1.488E-02 3.584E+03
1.507E-03 4.237E+00 1.539E-02 3.355E+03
1.549E-03 4.211E+00 1.592E-02 3.127E+03
1.592E-03 4.185E+00 1.645E-02 2.915E+03
1.636E-03 4.158E+00 1.699E-02 2.718E+03
1.682E-03 4.130E+00 1.755E-02 2.531E+03
1.728E-03 4.101E+00 1.810E-02 2.362E+03
1.776E-03 4.071E+00 1.866E-02 2.201E+03
1.825E-03 4.041E+00 1.924E-02 2.053E+03
1.876E-03 4.009E+00 1.983E-02 1.913E+03
1.928E-03 3.977E+00 2.042E-02 1.783E+03
1.981E-03 3.944E+00 2.103E-02 1.663E+03
2.036E-03 3.911E+00 2.165E-02 1.548E+03
2.093E-03 3.876E+00 2.229E-02 1.439E+03
2.151E-03 3.841E+00 2.294E-02 1.338E+03
2.211E-03 3.805E+00 2.361E-02 1.244E+03
2.272E-03 3.768E+00 2.428E-02 1.158E+03
2.335E-03 3.731E+00 2.497E-02 1.077E+03
2.400E-03 3.693E+00 2.568E-02 1.001E+03
2.466E-03 3.654E+00 2.640E-02 9.317E+02
2.535E-03 3.614E+00 2.714E-02 8.660E+02
2.605E-03 3.574E+00 2.789E-02 8.057E+02
2.677E-03 3.533E+00 2.866E-02 7.495E+02
2.751E-03 3.491E+00 2.944E-02 6.973E+02
2.828E-03 3.448E+00 3.026E-02 6.481E+02
2.906E-03 3.405E+00 3.108E-02 6.030E+02
2.987E-03 3.361E+00 3.192E-02 5.607E+02
3.070E-03 3.316E+00 3.279E-02 5.206E+02
3.155E-03 3.270E+00 3.367E-02 4.834E+02
3.242E-03 3.224E+00 3.456E-02 4.490E+02
3.332E-03 3.178E+00 3.548E-02 4.168E+02
3.424E-03 3.130E+00 3.642E-02 3.871E+02
3.519E-03 3.082E+00 3.738E-02 3.594E+02
3.617E-03 3.033E+00 3.836E-02 3.336E+02
3.717E-03 2.984E+00 3.935E-02 3.098E+02
3.820E-03 2.934E+00 4.037E-02 2.876E+02
3.926E-03 2.884E+00 4.140E-02 2.670E+02
4.035E-03 2.833E+00 4.246E-02 2.478E+02
4.147E-03 2.781E+00 4.353E-02 2.298E+02
4.262E-03 2.729E+00 4.462E-02 2.132E+02
4.380E-03 2.677E+00 4.572E-02 1.977E+02
4.502E-03 2.624E+00 4.685E-02 1.834E+02
4.627E-03 2.572E+00 4.800E-02 1.700E+02
4.755E-03 2.519E+00 4.916E-02 1.577E+02
4.887E-03 2.465E+00 5.033E-02 1.463E+02
5.022E-03 2.412E+00 5.152E-02 1.357E+02
5.162E-03 2.359E+00 5.274E-02 1.257E+02
5.305E-03 2.305E+00 5.396E-02 1.165E+02
5.452E-03 2.252E+00 5.520E-02 1.080E+02
5.603E-03 2.198E+00 5.645E-02 1.001E+02
5.758E-03 2.145E+00 5.772E-02 9.276E+01
5.918E-03 2.092E+00 5.901E-02 8.595E+01
6.082E-03 2.039E+00 6.031E-02 7.963E+01
6.251E-03 1.986E+00 6.163E-02 7.375E+01
6.424E-03 1.933E+00 6.296E-02 6.832E+01
6.602E-03 1.882E+00 6.430E-02 6.329E+01
6.785E-03 1.831E+00 6.565E-02 5.862E+01
6.974E-03 1.780E+00 6.702E-02 5.428E+01
7.167E-03 1.731E+00 6.839E-02 3.984E+02
7.366E-03 1.683E+00 6.976E-02 3.727E+02
7.570E-03 1.635E+00 7.114E-02 3.486E+02
7.780E-03 1.589E+00 7.253E-02 3.259E+02
7.996E-03 1.543E+00 7.393E-02 3.044E+02
8.217E-03 1.498E+00 7.532E-02 2.841E+02
8.445E-03 1.454E+00 7.673E-02 2.648E+02
8.680E-03 1.410E+00 7.814E-02 2.466E+02
8.920E-03 1.368E+00 7.955E-02 2.296E+02
9.168E-03 1.326E+00 8.096E-02 2.136E+02
9.422E-03 1.286E+00 8.237E-02 1.986E+02
9.683E-03 1.246E+00 8.377E-02 1.847E+02
9.952E-03 1.208E+00 8.517E-02 1.716E+02
1.023E-02 1.171E+00 8.656E-02 1.595E+02
1.051E-02 1.134E+00 8.793E-02 1.482E+02
1.080E-02 1.099E+00 8.930E-02 1.377E+02
1.110E-02 1.065E+00 9.066E-02 1.279E+02
1.141E-02 1.032E+00 9.200E-02 1.188E+02
1.173E-02 9.994E-01 9.333E-02 1.103E+02
1.205E-02 9.680E-01 9.465E-02 1.024E+02
1.239E-02 9.374E-01 9.596E-02 9.509E+01
1.273E-02 9.077E-01 9.725E-02 8.826E+01
1.308E-02 8.788E-01 9.853E-02 8.191E+01
1.344E-02 8.507E-01 9.979E-02 7.602E+01
1.382E-02 8.234E-01 1.010E-01 7.052E+01
1.420E-02 7.968E-01 1.023E-01 6.541E+01
1.459E-02 7.709E-01 1.035E-01 6.066E+01
1.500E-02 7.458E-01 1.047E-01 5.623E+01
