#Photon    Coherent Incoher. Photoel. 
#Energy    Scatter. Scatter. Absorb.  
#
1.000E-03 3.787E-01 1.017E-02 6.044E+01 
1.028E-03 3.773E-01 1.070E-02 5.528E+01 
1.056E-03 3.760E-01 1.125E-02 5.069E+01 
1.086E-03 3.746E-01 1.185E-02 4.630E+01 
1.116E-03 3.732E-01 1.247E-02 4.241E+01 
1.147E-03 3.718E-01 1.311E-02 3.882E+01 
1.178E-03 3.704E-01 1.378E-02 3.562E+01 
1.211E-03 3.688E-01 1.449E-02 3.258E+01 
1.245E-03 3.673E-01 1.525E-02 2.980E+01 
1.279E-03 3.657E-01 1.602E-02 2.733E+01 
1.315E-03 3.640E-01 1.685E-02 2.499E+01 
1.351E-03 3.622E-01 1.770E-02 2.292E+01 
1.389E-03 3.603E-01 1.861E-02 2.096E+01 
1.427E-03 3.584E-01 1.953E-02 1.922E+01 
1.467E-03 3.564E-01 2.052E-02 1.759E+01 
1.507E-03 3.543E-01 2.153E-02 1.614E+01 
1.549E-03 3.520E-01 2.260E-02 1.478E+01 
1.592E-03 3.496E-01 2.371E-02 1.355E+01 
1.636E-03 3.472E-01 2.486E-02 1.242E+01 
1.682E-03 3.445E-01 2.608E-02 1.136E+01 
1.728E-03 3.419E-01 2.732E-02 1.042E+01 
1.776E-03 3.390E-01 2.862E-02 9.546E+00 
1.825E-03 3.361E-01 2.996E-02 8.747E+00 
1.876E-03 3.330E-01 3.138E-02 8.004E+00 
1.928E-03 3.299E-01 3.283E-02 7.327E+00 
1.981E-03 3.266E-01 3.432E-02 6.709E+00 
2.036E-03 3.232E-01 3.588E-02 6.137E+00 
2.093E-03 3.196E-01 3.751E-02 5.606E+00 
2.151E-03 3.160E-01 3.918E-02 5.124E+00 
2.211E-03 3.122E-01 4.091E-02 4.680E+00 
2.272E-03 3.084E-01 4.268E-02 4.276E+00 
2.335E-03 3.044E-01 4.451E-02 3.905E+00 
2.400E-03 3.003E-01 4.640E-02 3.563E+00 
2.466E-03 2.961E-01 4.832E-02 3.254E+00 
2.535E-03 2.917E-01 5.033E-02 2.967E+00 
2.605E-03 2.873E-01 5.236E-02 2.707E+00 
