#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 4.107E-01 3.079E-02 2.334E+02
1.028E-03 4.059E-01 3.171E-02 2.143E+02
1.056E-03 4.013E-01 3.263E-02 1.972E+02
1.086E-03 3.966E-01 3.361E-02 1.808E+02
1.116E-03 3.920E-01 3.459E-02 1.662E+02
1.147E-03 3.874E-01 3.559E-02 1.527E+02
1.178E-03 3.829E-01 3.658E-02 1.406E+02
1.211E-03 3.783E-01 3.761E-02 1.291E+02
1.245E-03 3.736E-01 3.867E-02 1.185E+02
1.279E-03 3.691E-01 3.970E-02 1.090E+02
1.315E-03 3.644E-01 4.077E-02 9.995E+01
1.351E-03 3.599E-01 4.181E-02 9.189E+01
1.389E-03 3.552E-01 4.287E-02 8.429E+01
1.427E-03 3.505E-01 4.389E-02 7.748E+01
1.467E-03 3.458E-01 4.493E-02 7.107E+01
1.507E-03 3.411E-01 4.592E-02 6.534E+01
1.549E-03 3.363E-01 4.691E-02 5.994E+01
1.592E-03 3.315E-01 4.787E-02 5.501E+01
1.636E-03 3.267E-01 4.881E-02 5.049E+01
1.682E-03 3.218E-01 4.975E-02 4.626E+01
1.728E-03 3.171E-01 5.064E-02 4.249E+01
1.776E-03 3.123E-01 5.154E-02 3.896E+01
1.825E-03 3.076E-01 5.242E-02 3.575E+01
1.876E-03 3.028E-01 5.330E-02 3.275E+01
1.928E-03 2.982E-01 5.417E-02 3.003E+01
1.981E-03 2.936E-01 5.503E-02 2.755E+01
2.036E-03 2.891E-01 5.591E-02 2.525E+01
2.093E-03 2.846E-01 5.679E-02 2.312E+01
2.151E-03 2.802E-01 5.767E-02 2.118E+01
2.211E-03 2.759E-01 5.856E-02 1.939E+01
2.272E-03 2.717E-01 5.945E-02 1.777E+01
2.335E-03 2.675E-01 6.035E-02 1.628E+01
2.400E-03 2.634E-01 6.126E-02 1.490E+01
2.466E-03 2.593E-01 6.217E-02 1.366E+01
2.535E-03 2.553E-01 6.311E-02 1.250E+01
2.605E-03 2.513E-01 6.405E-02 1.144E+01
2.677E-03 2.474E-01 6.500E-02 1.048E+01
2.751E-03 2.436E-01 6.597E-02 9.596E+00
2.828E-03 2.397E-01 6.696E-02 8.776E+00
2.906E-03 2.359E-01 6.796E-02 8.036E+00
2.987E-03 2.322E-01 6.899E-02 7.351E+00
3.070E-03 2.284E-01 7.003E-02 6.726E+00
3.155E-03 2.248E-01 7.109E-02 6.155E+00
3.242E-03 2.211E-01 7.217E-02 5.635E+00
3.332E-03 2.175E-01 7.328E-02 5.155E+00
3.424E-03 2.139E-01 7.440E-02 4.718E+00
3.519E-03 2.103E-01 7.555E-02 4.316E+00
3.617E-03 2.067E-01 7.672E-02 3.946E+00
3.717E-03 2.032E-01 7.791E-02 3.610E+00
3.820E-03 1.996E-01 7.913E-02 3.302E+00
3.926E-03 1.960E-01 8.036E-02 3.019E+00
4.035E-03 1.924E-01 8.162E-02 2.760E+00
4.147E-03 1.888E-01 8.290E-02 2.523E+00
4.262E-03 1.852E-01 8.420E-02 2.306E+00
4.380E-03 1.816E-01 8.552E-02 2.108E+00
4.502E-03 1.780E-01 8.687E-02 1.926E+00
4.627E-03 1.743E-01 8.824E-02 1.760E+00
4.755E-03 1.707E-01 8.963E-02 1.609E+00
4.887E-03 1.670E-01 9.104E-02 1.470E+00
5.022E-03 1.633E-01 9.246E-02 1.343E+00
5.162E-03 1.596E-01 9.391E-02 1.227E+00
5.305E-03 1.558E-01 9.538E-02 1.121E+00
5.452E-03 1.521E-01 9.686E-02 1.025E+00
5.603E-03 1.484E-01 9.835E-02 9.362E-01
5.758E-03 1.446E-01 9.985E-02 8.554E-01
5.918E-03 1.409E-01 1.014E-01 7.813E-01
6.082E-03 1.371E-01 1.029E-01 7.137E-01
6.251E-03 1.334E-01 1.044E-01 6.517E-01
6.424E-03 1.297E-01 1.059E-01 5.953E-01
6.602E-03 1.260E-01 1.074E-01 5.436E-01
6.785E-03 1.223E-01 1.089E-01 4.964E-01
6.974E-03 1.187E-01 1.104E-01 4.530E-01
7.167E-03 1.151E-01 1.119E-01 4.137E-01
7.366E-03 1.115E-01 1.133E-01 3.776E-01
7.570E-03 1.079E-01 1.148E-01 3.448E-01
7.780E-03 1.044E-01 1.163E-01 3.147E-01
7.996E-03 1.010E-01 1.177E-01 2.872E-01
8.217E-03 9.757E-02 1.191E-01 2.623E-01
8.445E-03 9.420E-02 1.205E-01 2.394E-01
8.680E-03 9.089E-02 1.219E-01 2.184E-01
8.920E-03 8.766E-02 1.233E-01 1.994E-01
9.168E-03 8.447E-02 1.246E-01 1.819E-01
9.422E-03 8.136E-02 1.259E-01 1.660E-01
9.683E-03 7.833E-02 1.272E-01 1.515E-01
9.952E-03 7.536E-02 1.285E-01 1.383E-01
1.023E-02 7.248E-02 1.297E-01 1.261E-01
1.051E-02 6.967E-02 1.308E-01 1.151E-01
1.080E-02 6.693E-02 1.320E-01 1.050E-01
1.110E-02 6.428E-02 1.331E-01 9.581E-02
1.141E-02 6.171E-02 1.341E-01 8.740E-02
1.173E-02 5.920E-02 1.351E-01 7.971E-02
1.205E-02 5.678E-02 1.361E-01 7.271E-02
1.239E-02 5.444E-02 1.371E-01 6.632E-02
1.273E-02 5.217E-02 1.380E-01 6.048E-02
1.308E-02 4.998E-02 1.389E-01 5.516E-02
1.344E-02 4.787E-02 1.397E-01 5.031E-02
1.382E-02 4.583E-02 1.405E-01 4.588E-02
1.420E-02 4.386E-02 1.412E-01 4.184E-02
1.459E-02 4.196E-02 1.420E-01 3.815E-02
1.500E-02 4.014E-02 1.426E-01 3.478E-02
