#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 2.146E+00 1.543E-02 9.202E+02
1.028E-03 2.134E+00 1.601E-02 8.546E+02
1.056E-03 2.123E+00 1.659E-02 7.952E+02
1.086E-03 2.112E+00 1.722E-02 7.377E+02
1.116E-03 2.100E+00 1.785E-02 6.858E+02
1.147E-03 2.089E+00 1.849E-02 6.373E+02
1.178E-03 2.077E+00 1.914E-02 5.933E+02
1.211E-03 2.065E+00 1.982E-02 5.510E+02
1.245E-03 2.052E+00 2.052E-02 5.116E+02
1.279E-03 2.040E+00 2.120E-02 4.759E+02
1.315E-03 2.026E+00 2.191E-02 5.352E+03
1.351E-03 2.013E+00 2.261E-02 5.050E+03
1.389E-03 1.998E+00 2.333E-02 4.754E+03
1.427E-03 1.984E+00 2.404E-02 4.480E+03
1.467E-03 1.969E+00 2.476E-02 4.211E+03
1.507E-03 1.954E+00 2.547E-02 3.959E+03
1.549E-03 1.938E+00 2.620E-02 3.710E+03
1.592E-03 1.922E+00 2.692E-02 3.473E+03
1.636E-03 1.906E+00 2.765E-02 3.248E+03
1.682E-03 1.889E+00 2.839E-02 3.029E+03
1.728E-03 1.873E+00 2.911E-02 2.828E+03
1.776E-03 1.856E+00 2.985E-02 2.636E+03
1.825E-03 1.839E+00 3.059E-02 2.456E+03
1.876E-03 1.822E+00 3.134E-02 2.285E+03
1.928E-03 1.804E+00 3.209E-02 2.126E+03
1.981E-03 1.787E+00 3.284E-02 1.979E+03
2.036E-03 1.769E+00 3.360E-02 1.841E+03
2.093E-03 1.751E+00 3.438E-02 1.712E+03
2.151E-03 1.733E+00 3.516E-02 1.593E+03
2.211E-03 1.714E+00 3.595E-02 1.481E+03
2.272E-03 1.696E+00 3.674E-02 1.379E+03
2.335E-03 1.677E+00 3.755E-02 1.283E+03
2.400E-03 1.658E+00 3.837E-02 1.193E+03
2.466E-03 1.639E+00 3.919E-02 1.110E+03
2.535E-03 1.620E+00 4.004E-02 1.032E+03
2.605E-03 1.601E+00 4.090E-02 9.598E+02
2.677E-03 1.582E+00 4.177E-02 8.925E+02
2.751E-03 1.562E+00 4.266E-02 8.297E+02
2.828E-03 1.542E+00 4.358E-02 7.704E+02
2.906E-03 1.523E+00 4.450E-02 7.160E+02
2.987E-03 1.502E+00 4.546E-02 6.646E+02
3.070E-03 1.482E+00 4.644E-02 6.169E+02
3.155E-03 1.462E+00 4.744E-02 5.726E+02
3.242E-03 1.442E+00 4.847E-02 5.314E+02
3.332E-03 1.421E+00 4.952E-02 4.928E+02
3.424E-03 1.401E+00 5.060E-02 4.571E+02
3.519E-03 1.380E+00 5.171E-02 4.237E+02
3.617E-03 1.358E+00 5.284E-02 3.925E+02
3.717E-03 1.337E+00 5.400E-02 3.637E+02
3.820E-03 1.315E+00 5.519E-02 3.370E+02
3.926E-03 1.294E+00 5.641E-02 3.120E+02
4.035E-03 1.271E+00 5.766E-02 2.889E+02
4.147E-03 1.249E+00 5.894E-02 2.675E+02
4.262E-03 1.227E+00 6.024E-02 2.476E+02
4.380E-03 1.204E+00 6.158E-02 2.291E+02
4.502E-03 1.181E+00 6.295E-02 2.120E+02
4.627E-03 1.158E+00 6.434E-02 1.961E+02
4.755E-03 1.134E+00 6.576E-02 1.814E+02
4.887E-03 1.111E+00 6.720E-02 1.677E+02
5.022E-03 1.087E+00 6.867E-02 1.551E+02
5.162E-03 1.063E+00 7.018E-02 1.434E+02
5.305E-03 1.039E+00 7.171E-02 1.325E+02
5.452E-03 1.015E+00 7.326E-02 1.225E+02
5.603E-03 9.906E-01 7.483E-02 1.132E+02
5.758E-03 9.664E-01 7.642E-02 1.046E+02
5.918E-03 9.419E-01 7.804E-02 9.658E+01
