#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 4.240E+00 9.236E-03 8.089E+03
1.028E-03 4.222E+00 9.601E-03 7.557E+03
1.056E-03 4.205E+00 9.970E-03 7.073E+03
1.086E-03 4.187E+00 1.037E-02 6.601E+03
1.116E-03 4.170E+00 1.077E-02 6.173E+03
1.147E-03 4.152E+00 1.119E-02 5.770E+03
1.178E-03 4.134E+00 1.160E-02 5.403E+03
1.211E-03 4.115E+00 1.205E-02 5.047E+03
1.245E-03 4.096E+00 1.251E-02 4.715E+03
1.279E-03 4.076E+00 1.297E-02 4.412E+03
1.315E-03 4.056E+00 1.346E-02 4.120E+03
1.351E-03 4.035E+00 1.394E-02 3.855E+03
1.389E-03 4.013E+00 1.445E-02 3.601E+03
1.427E-03 3.991E+00 1.495E-02 3.369E+03
1.467E-03 3.968E+00 1.548E-02 3.147E+03
1.507E-03 3.944E+00 1.600E-02 2.944E+03
1.549E-03 3.919E+00 1.653E-02 2.742E+03
1.592E-03 3.893E+00 1.707E-02 2.555E+03
1.636E-03 3.866E+00 1.762E-02 2.381E+03
1.682E-03 3.838E+00 1.818E-02 2.217E+03
1.728E-03 3.810E+00 1.873E-02 2.067E+03
1.776E-03 3.781E+00 1.930E-02 1.926E+03
1.825E-03 3.751E+00 1.988E-02 1.795E+03
1.876E-03 3.720E+00 2.048E-02 1.672E+03
1.928E-03 3.689E+00 2.108E-02 1.558E+03
1.981E-03 3.657E+00 2.168E-02 1.453E+03
2.036E-03 3.625E+00 2.231E-02 1.352E+03
2.093E-03 3.591E+00 2.296E-02 1.256E+03
2.151E-03 3.557E+00 2.361E-02 1.168E+03
2.211E-03 3.522E+00 2.428E-02 1.085E+03
2.272E-03 3.487E+00 2.496E-02 1.010E+03
2.335E-03 3.451E+00 2.565E-02 9.388E+02
2.400E-03 3.415E+00 2.636E-02 8.726E+02
2.466E-03 3.378E+00 2.708E-02 8.119E+02
2.535E-03 3.340E+00 2.783E-02 7.544E+02
2.605E-03 3.301E+00 2.859E-02 7.017E+02
2.677E-03 3.262E+00 2.936E-02 6.526E+02
2.751E-03 3.222E+00 3.014E-02 6.069E+02
2.828E-03 3.181E+00 3.096E-02 5.640E+02
2.906E-03 3.140E+00 3.178E-02 5.246E+02
2.987E-03 3.098E+00 3.263E-02 4.876E+02
3.070E-03 3.055E+00 3.349E-02 4.526E+02
3.155E-03 3.012E+00 3.437E-02 4.202E+02
3.242E-03 2.968E+00 3.527E-02 3.902E+02
3.332E-03 2.924E+00 3.619E-02 3.622E+02
3.424E-03 2.879E+00 3.712E-02 3.363E+02
3.519E-03 2.833E+00 3.808E-02 3.121E+02
3.617E-03 2.787E+00 3.905E-02 2.896E+02
3.717E-03 2.740E+00 4.004E-02 2.689E+02
3.820E-03 2.693E+00 4.105E-02 2.496E+02
3.926E-03 2.646E+00 4.208E-02 2.317E+02
4.035E-03 2.598E+00 4.313E-02 2.150E+02
4.147E-03 2.550E+00 4.419E-02 1.993E+02
4.262E-03 2.501E+00 4.527E-02 1.848E+02
4.380E-03 2.452E+00 4.637E-02 1.714E+02
4.502E-03 2.403E+00 4.749E-02 1.589E+02
4.627E-03 2.354E+00 4.862E-02 1.473E+02
4.755E-03 2.304E+00 4.976E-02 1.366E+02
4.887E-03 2.255E+00 5.093E-02 1.267E+02
5.022E-03 2.205E+00 5.211E-02 1.175E+02
5.162E-03 2.155E+00 5.331E-02 1.088E+02
5.305E-03 2.105E+00 5.452E-02 1.008E+02
5.452E-03 2.056E+00 5.574E-02 9.345E+01
5.603E-03 2.006E+00 5.698E-02 8.660E+01
5.758E-03 1.957E+00 5.823E-02 8.026E+01
5.918E-03 1.909E+00 5.950E-02 7.436E+01
6.082E-03 1.860E+00 6.077E-02 6.889E+01
6.251E-03 1.813E+00 6.206E-02 6.380E+01
6.424E-03 1.766E+00 6.335E-02 5.910E+01
6.602E-03 1.719E+00 6.466E-02 4.397E+02
6.785E-03 1.673E+00 6.599E-02 4.111E+02
6.974E-03 1.627E+00 6.733E-02 3.841E+02
7.167E-03 1.582E+00 6.867E-02 3.590E+02
7.366E-03 1.537E+00 7.003E-02 3.353E+02
7.570E-03 1.493E+00 7.138E-02 3.131E+02
7.780E-03 1.450E+00 7.275E-02 2.921E+02
7.996E-03 1.408E+00 7.412E-02 2.723E+02
8.217E-03 1.367E+00 7.548E-02 2.537E+02
8.445E-03 1.327E+00 7.685E-02 2.362E+02
8.680E-03 1.287E+00 7.823E-02 2.197E+02
8.920E-03 1.249E+00 7.959E-02 2.043E+02
9.168E-03 1.212E+00 8.095E-02 1.899E+02
9.422E-03 1.175E+00 8.230E-02 1.764E+02
9.683E-03 1.140E+00 8.365E-02 1.639E+02
9.952E-03 1.105E+00 8.499E-02 1.521E+02
1.023E-02 1.072E+00 8.632E-02 1.413E+02
1.051E-02 1.039E+00 8.764E-02 1.312E+02
1.080E-02 1.008E+00 8.895E-02 1.218E+02
1.110E-02 9.771E-01 9.024E-02 1.131E+02
