#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 6.942E+00 6.428E-03 4.936E+03
1.028E-03 6.919E+00 6.685E-03 4.628E+03
1.056E-03 6.895E+00 6.945E-03 4.347E+03
1.086E-03 6.871E+00 7.226E-03 4.072E+03
1.116E-03 6.847E+00 7.509E-03 3.822E+03
1.147E-03 6.823E+00 7.805E-03 3.585E+03
1.178E-03 6.799E+00 8.102E-03 3.369E+03
1.211E-03 6.773E+00 8.420E-03 3.159E+03
1.245E-03 6.746E+00 8.749E-03 2.962E+03
1.279E-03 6.720E+00 9.078E-03 2.781E+03
1.315E-03 6.691E+00 9.428E-03 2.607E+03
1.351E-03 6.663E+00 9.778E-03 2.448E+03
1.389E-03 6.632E+00 1.015E-02 2.295E+03
1.427E-03 6.601E+00 1.051E-02 2.155E+03
1.467E-03 6.568E+00 1.090E-02 2.020E+03
1.507E-03 6.535E+00 1.128E-02 1.897E+03
1.549E-03 6.499E+00 1.168E-02 1.774E+03
1.592E-03 6.462E+00 1.209E-02 1.660E+03
1.636E-03 6.424E+00 1.250E-02 1.554E+03
1.682E-03 6.384E+00 1.293E-02 1.452E+03
1.728E-03 6.343E+00 1.336E-02 1.360E+03
1.776E-03 6.301E+00 1.380E-02 1.273E+03
1.825E-03 6.258E+00 1.425E-02 1.191E+03
1.876E-03 6.213E+00 1.471E-02 1.114E+03
1.928E-03 6.168E+00 1.519E-02 1.042E+03
1.981E-03 6.122E+00 1.567E-02 9.758E+02
2.036E-03 6.075E+00 1.616E-02 9.120E+02
2.093E-03 6.026E+00 1.667E-02 8.514E+02
2.151E-03 5.977E+00 1.720E-02 7.953E+02
2.211E-03 5.926E+00 1.773E-02 7.426E+02
2.272E-03 5.874E+00 1.827E-02 6.939E+02
2.335E-03 5.821E+00 1.883E-02 6.482E+02
2.400E-03 5.767E+00 1.940E-02 6.053E+02
2.466E-03 5.711E+00 1.998E-02 5.657E+02
2.535E-03 5.653E+00 2.058E-02 1.938E+03
2.605E-03 5.594E+00 2.118E-02 1.785E+03
2.677E-03 5.535E+00 2.180E-02 2.313E+03
2.751E-03 5.474E+00 2.243E-02 2.163E+03
2.828E-03 5.411E+00 2.309E-02 2.020E+03
2.906E-03 5.349E+00 2.375E-02 2.164E+03
2.987E-03 5.285E+00 2.443E-02 2.027E+03
3.070E-03 5.220E+00 2.512E-02 1.892E+03
3.155E-03 5.155E+00 2.582E-02 1.765E+03
3.242E-03 5.089E+00 2.653E-02 1.647E+03
3.332E-03 5.021E+00 2.726E-02 1.537E+03
3.424E-03 4.954E+00 2.800E-02 1.434E+03
3.519E-03 4.885E+00 2.876E-02 1.338E+03
3.617E-03 4.816E+00 2.953E-02 1.247E+03
3.717E-03 4.746E+00 3.031E-02 1.164E+03
3.820E-03 4.676E+00 3.111E-02 1.086E+03
3.926E-03 4.605E+00 3.193E-02 1.013E+03
4.035E-03 4.534E+00 3.276E-02 9.444E+02
4.147E-03 4.462E+00 3.361E-02 8.796E+02
4.262E-03 4.390E+00 3.447E-02 8.192E+02
4.380E-03 4.318E+00 3.535E-02 7.631E+02
4.502E-03 4.245E+00 3.625E-02 7.105E+02
4.627E-03 4.172E+00 3.716E-02 6.617E+02
4.755E-03 4.099E+00 3.808E-02 6.164E+02
4.887E-03 4.026E+00 3.902E-02 5.741E+02
5.022E-03 3.953E+00 3.998E-02 5.348E+02
5.162E-03 3.880E+00 4.095E-02 4.972E+02
5.305E-03 3.808E+00 4.194E-02 4.624E+02
5.452E-03 3.735E+00 4.294E-02 4.301E+02
5.603E-03 3.663E+00 4.395E-02 4.000E+02
5.758E-03 3.592E+00 4.498E-02 3.721E+02
5.918E-03 3.521E+00 4.602E-02 3.460E+02
6.082E-03 3.451E+00 4.707E-02 3.216E+02
6.251E-03 3.381E+00 4.813E-02 2.988E+02
6.424E-03 3.313E+00 4.919E-02 2.776E+02
6.602E-03 3.244E+00 5.027E-02 2.579E+02
6.785E-03 3.176E+00 5.136E-02 2.396E+02
6.974E-03 3.109E+00 5.246E-02 2.225E+02
7.167E-03 3.042E+00 5.356E-02 2.067E+02
7.366E-03 2.975E+00 5.467E-02 1.920E+02
7.570E-03 2.908E+00 5.578E-02 1.784E+02
7.780E-03 2.841E+00 5.690E-02 1.657E+02
7.996E-03 2.775E+00 5.803E-02 1.539E+02
8.217E-03 2.709E+00 5.915E-02 1.429E+02
8.445E-03 2.643E+00 6.029E-02 1.325E+02
8.680E-03 2.578E+00 6.142E-02 1.229E+02
8.920E-03 2.515E+00 6.255E-02 1.141E+02
9.168E-03 2.452E+00 6.367E-02 1.058E+02
9.422E-03 2.392E+00 6.478E-02 9.820E+01
9.683E-03 2.333E+00 6.589E-02 9.112E+01
9.952E-03 2.277E+00 6.697E-02 8.453E+01
1.023E-02 2.223E+00 6.804E-02 7.835E+01
1.051E-02 2.170E+00 6.910E-02 7.262E+01
1.080E-02 2.119E+00 7.014E-02 6.729E+01
1.110E-02 2.069E+00 7.118E-02 6.237E+01
1.141E-02 2.018E+00 7.221E-02 5.780E+01
1.173E-02 1.967E+00 7.325E-02 5.356E+01
1.205E-02 1.916E+00 7.430E-02 4.963E+01
1.239E-02 1.863E+00 7.536E-02 4.600E+01
1.273E-02 1.809E+00 7.644E-02 4.262E+01
1.308E-02 1.754E+00 7.755E-02 3.950E+01
1.344E-02 1.697E+00 7.868E-02 3.661E+01
1.382E-02 1.638E+00 7.987E-02 3.393E+01
1.420E-02 1.576E+00 8.110E-02 3.145E+01
1.459E-02 1.513E+00 8.238E-02 2.914E+01
1.500E-02 1.448E+00 8.373E-02 2.700E+01
