#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 5.052E+00 7.812E-03 9.850E+03
1.028E-03 5.035E+00 8.153E-03 1.049E+04
1.056E-03 5.018E+00 8.495E-03 9.830E+03
1.086E-03 5.000E+00 8.863E-03 9.190E+03
1.116E-03 4.983E+00 9.231E-03 8.607E+03
1.147E-03 4.965E+00 9.612E-03 8.059E+03
1.178E-03 4.947E+00 9.993E-03 7.559E+03
1.211E-03 4.928E+00 1.040E-02 7.073E+03
1.245E-03 4.909E+00 1.082E-02 6.618E+03
1.279E-03 4.890E+00 1.123E-02 6.203E+03
1.315E-03 4.869E+00 1.167E-02 5.803E+03
1.351E-03 4.849E+00 1.211E-02 5.438E+03
1.389E-03 4.827E+00 1.257E-02 5.088E+03
1.427E-03 4.805E+00 1.303E-02 4.768E+03
1.467E-03 4.781E+00 1.351E-02 4.462E+03
1.507E-03 4.757E+00 1.399E-02 4.180E+03
1.549E-03 4.731E+00 1.448E-02 3.899E+03
1.592E-03 4.705E+00 1.499E-02 3.639E+03
1.636E-03 4.678E+00 1.550E-02 3.396E+03
1.682E-03 4.649E+00 1.603E-02 3.166E+03
1.728E-03 4.620E+00 1.656E-02 2.958E+03
1.776E-03 4.589E+00 1.710E-02 2.760E+03
1.825E-03 4.558E+00 1.766E-02 2.576E+03
1.876E-03 4.526E+00 1.823E-02 2.403E+03
1.928E-03 4.493E+00 1.881E-02 2.242E+03
1.981E-03 4.459E+00 1.939E-02 2.094E+03
2.036E-03 4.424E+00 1.999E-02 1.951E+03
2.093E-03 4.388E+00 2.061E-02 1.814E+03
2.151E-03 4.352E+00 2.124E-02 1.689E+03
2.211E-03 4.314E+00 2.188E-02 1.571E+03
2.272E-03 4.276E+00 2.253E-02 1.463E+03
2.335E-03 4.237E+00 2.320E-02 1.362E+03
2.400E-03 4.197E+00 2.388E-02 1.267E+03
2.466E-03 4.156E+00 2.457E-02 1.180E+03
2.535E-03 4.114E+00 2.529E-02 1.098E+03
2.605E-03 4.072E+00 2.601E-02 1.022E+03
2.677E-03 4.028E+00 2.675E-02 9.514E+02
2.751E-03 3.984E+00 2.751E-02 8.857E+02
2.828E-03 3.938E+00 2.829E-02 8.238E+02
2.906E-03 3.892E+00 2.908E-02 7.671E+02
2.987E-03 3.845E+00 2.990E-02 7.137E+02
3.070E-03 3.797E+00 3.074E-02 6.631E+02
3.155E-03 3.749E+00 3.159E-02 6.160E+02
3.242E-03 3.699E+00 3.246E-02 5.725E+02
3.332E-03 3.649E+00 3.335E-02 5.317E+02
3.424E-03 3.598E+00 3.426E-02 4.941E+02
3.519E-03 3.546E+00 3.520E-02 4.589E+02
3.617E-03 3.493E+00 3.616E-02 4.261E+02
3.717E-03 3.440E+00 3.713E-02 3.959E+02
3.820E-03 3.386E+00 3.812E-02 3.678E+02
3.926E-03 3.331E+00 3.914E-02 3.416E+02
4.035E-03 3.275E+00 4.018E-02 3.172E+02
4.147E-03 3.218E+00 4.123E-02 2.943E+02
4.262E-03 3.161E+00 4.231E-02 2.731E+02
4.380E-03 3.104E+00 4.340E-02 2.534E+02
4.502E-03 3.045E+00 4.452E-02 2.351E+02
4.627E-03 2.987E+00 4.565E-02 2.181E+02
4.755E-03 2.928E+00 4.680E-02 2.024E+02
4.887E-03 2.868E+00 4.797E-02 1.878E+02
5.022E-03 2.809E+00 4.915E-02 1.743E+02
5.162E-03 2.749E+00 5.035E-02 1.615E+02
5.305E-03 2.689E+00 5.157E-02 1.497E+02
5.452E-03 2.629E+00 5.281E-02 1.388E+02
5.603E-03 2.569E+00 5.406E-02 1.287E+02
5.758E-03 2.508E+00 5.532E-02 1.194E+02
5.918E-03 2.448E+00 5.661E-02 1.106E+02
6.082E-03 2.388E+00 5.791E-02 1.025E+02
6.251E-03 2.327E+00 5.924E-02 9.498E+01
6.424E-03 2.267E+00 6.057E-02 8.799E+01
6.602E-03 2.208E+00 6.192E-02 8.152E+01
6.785E-03 2.149E+00 6.328E-02 7.552E+01
6.974E-03 2.090E+00 6.466E-02 6.993E+01
7.167E-03 2.033E+00 6.605E-02 6.479E+01
7.366E-03 1.976E+00 6.745E-02 6.002E+01
7.570E-03 1.920E+00 6.885E-02 5.560E+01
7.780E-03 1.866E+00 7.027E-02 5.151E+01
7.996E-03 1.812E+00 7.170E-02 4.771E+01
8.217E-03 1.760E+00 7.312E-02 4.418E+01
8.445E-03 1.708E+00 7.456E-02 3.169E+02
8.680E-03 1.656E+00 7.602E-02 2.960E+02
8.920E-03 1.606E+00 7.747E-02 2.766E+02
9.168E-03 1.556E+00 7.893E-02 2.584E+02
9.422E-03 1.508E+00 8.040E-02 2.413E+02
9.683E-03 1.460E+00 8.186E-02 2.252E+02
9.952E-03 1.414E+00 8.333E-02 2.100E+02
1.023E-02 1.369E+00 8.479E-02 1.958E+02
1.051E-02 1.325E+00 8.624E-02 1.824E+02
1.080E-02 1.283E+00 8.769E-02 1.698E+02
1.110E-02 1.241E+00 8.913E-02 1.580E+02
1.141E-02 1.201E+00 9.056E-02 1.470E+02
1.173E-02 1.162E+00 9.198E-02 1.366E+02
1.205E-02 1.125E+00 9.339E-02 1.269E+02
1.239E-02 1.088E+00 9.479E-02 1.179E+02
1.273E-02 1.052E+00 9.617E-02 1.095E+02
1.308E-02 1.018E+00 9.754E-02 1.016E+02
1.344E-02 9.844E-01 9.890E-02 9.432E+01
1.382E-02 9.519E-01 1.002E-01 8.751E+01
1.420E-02 9.204E-01 1.016E-01 8.119E+01
1.459E-02 8.898E-01 1.029E-01 7.531E+01
1.500E-02 8.601E-01 1.041E-01 6.985E+01
