#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 1.501E+00 8.514E-03 4.588E+03
1.028E-03 1.495E+00 8.957E-03 4.264E+03
1.056E-03 1.489E+00 9.410E-03 3.971E+03
1.086E-03 1.483E+00 9.906E-03 3.686E+03
1.116E-03 1.476E+00 1.041E-02 3.429E+03
1.147E-03 1.470E+00 1.095E-02 3.188E+03
1.178E-03 1.463E+00 1.149E-02 2.969E+03
1.211E-03 1.456E+00 1.208E-02 2.758E+03
1.245E-03 1.449E+00 1.271E-02 2.561E+03
1.279E-03 1.442E+00 1.334E-02 2.383E+03
1.315E-03 1.434E+00 1.402E-02 2.211E+03
1.351E-03 1.426E+00 1.471E-02 2.056E+03
1.389E-03 1.418E+00 1.545E-02 1.908E+03
1.427E-03 1.409E+00 1.621E-02 1.773E+03
1.467E-03 1.400E+00 1.701E-02 1.644E+03
1.507E-03 1.390E+00 1.782E-02 1.528E+03
1.549E-03 1.380E+00 1.869E-02 1.417E+03
1.592E-03 1.370E+00 1.958E-02 1.314E+03
1.636E-03 1.359E+00 2.051E-02 1.218E+03
1.682E-03 1.347E+00 2.149E-02 1.128E+03
1.728E-03 1.335E+00 2.247E-02 1.046E+03
1.776E-03 1.323E+00 2.351E-02 9.692E+02
1.825E-03 1.310E+00 2.458E-02 8.980E+02
1.876E-03 1.296E+00 2.570E-02 8.311E+02
1.928E-03 1.282E+00 2.685E-02 7.694E+02
1.981E-03 1.268E+00 2.803E-02 7.127E+02
2.036E-03 1.254E+00 2.926E-02 6.595E+02
2.093E-03 1.238E+00 3.054E-02 6.098E+02
2.151E-03 1.223E+00 3.185E-02 5.642E+02
2.211E-03 1.207E+00 3.321E-02 5.216E+02
2.272E-03 1.190E+00 3.459E-02 4.826E+02
2.335E-03 1.173E+00 3.602E-02 4.463E+02
2.400E-03 1.156E+00 3.750E-02 4.125E+02
2.466E-03 1.139E+00 3.900E-02 3.815E+02
2.535E-03 1.120E+00 4.056E-02 3.523E+02
2.605E-03 1.102E+00 4.214E-02 3.257E+02
2.677E-03 1.084E+00 4.375E-02 3.010E+02
2.751E-03 1.065E+00 4.541E-02 2.781E+02
2.828E-03 1.045E+00 4.712E-02 2.566E+02
2.906E-03 1.026E+00 4.884E-02 2.371E+02
2.987E-03 1.006E+00 5.061E-02 2.188E+02
3.070E-03 9.853E-01 5.240E-02 2.019E+02
3.155E-03 9.649E-01 5.422E-02 1.864E+02
3.242E-03 9.444E-01 5.606E-02 1.720E+02
3.332E-03 9.237E-01 5.793E-02 1.587E+02
3.424E-03 9.029E-01 5.982E-02 1.465E+02
3.519E-03 8.819E-01 6.175E-02 1.351E+02
3.617E-03 8.607E-01 6.370E-02 1.245E+02
3.717E-03 8.397E-01 6.565E-02 1.148E+02
3.820E-03 8.187E-01 6.763E-02 1.059E+02
3.926E-03 7.976E-01 6.962E-02 9.758E+01
4.035E-03 7.766E-01 7.163E-02 8.992E+01
4.147E-03 7.557E-01 7.364E-02 8.286E+01
4.262E-03 7.349E-01 7.566E-02 7.635E+01
4.380E-03 7.144E-01 7.768E-02 7.034E+01
4.502E-03 6.939E-01 7.972E-02 6.477E+01
4.627E-03 6.737E-01 8.174E-02 5.965E+01
4.755E-03 6.538E-01 8.376E-02 5.494E+01
4.887E-03 6.342E-01 8.577E-02 5.058E+01
5.022E-03 6.150E-01 8.776E-02 4.658E+01
5.162E-03 5.959E-01 8.975E-02 4.285E+01
5.305E-03 5.773E-01 9.172E-02 3.944E+01
5.452E-03 5.590E-01 9.366E-02 3.630E+01
5.603E-03 5.411E-01 9.559E-02 3.340E+01
5.758E-03 5.236E-01 9.749E-02 3.073E+01
5.918E-03 5.065E-01 9.937E-02 2.826E+01
6.082E-03 4.897E-01 1.012E-01 2.599E+01
6.251E-03 4.733E-01 1.031E-01 2.390E+01
6.424E-03 4.574E-01 1.049E-01 2.198E+01
6.602E-03 4.419E-01 1.066E-01 2.021E+01
6.785E-03 4.268E-01 1.084E-01 1.858E+01
6.974E-03 4.120E-01 1.101E-01 1.707E+01
7.167E-03 3.978E-01 1.118E-01 1.569E+01
7.366E-03 3.839E-01 1.134E-01 1.442E+01
7.570E-03 3.705E-01 1.150E-01 1.325E+01
7.780E-03 3.575E-01 1.166E-01 1.218E+01
7.996E-03 3.449E-01 1.181E-01 1.119E+01
8.217E-03 3.327E-01 1.196E-01 1.028E+01
8.445E-03 3.209E-01 1.211E-01 9.439E+00
8.680E-03 3.095E-01 1.225E-01 8.666E+00
8.920E-03 2.985E-01 1.239E-01 7.960E+00
9.168E-03 2.879E-01 1.253E-01 7.307E+00
9.422E-03 2.776E-01 1.266E-01 6.708E+00
9.683E-03 2.677E-01 1.279E-01 6.158E+00
9.952E-03 2.581E-01 1.292E-01 5.652E+00
1.023E-02 2.489E-01 1.305E-01 5.187E+00
1.051E-02 2.400E-01 1.317E-01 4.760E+00
1.080E-02 2.314E-01 1.329E-01 4.367E+00
1.110E-02 2.231E-01 1.341E-01 4.007E+00
1.141E-02 2.151E-01 1.352E-01 3.675E+00
1.173E-02 2.074E-01 1.363E-01 3.371E+00
1.205E-02 1.999E-01 1.374E-01 3.091E+00
1.239E-02 1.927E-01 1.385E-01 2.835E+00
1.273E-02 1.857E-01 1.396E-01 2.599E+00
1.308E-02 1.790E-01 1.406E-01 2.383E+00
1.344E-02 1.725E-01 1.416E-01 2.185E+00
1.382E-02 1.662E-01 1.426E-01 2.003E+00
1.420E-02 1.602E-01 1.436E-01 1.836E+00
1.459E-02 1.543E-01 1.445E-01 1.682E+00
1.500E-02 1.486E-01 1.454E-01 1.542E+00
