#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 1.251E+01 3.587E-03 5.197E+03
1.028E-03 1.248E+01 3.744E-03 4.922E+03
1.056E-03 1.245E+01 3.903E-03 4.670E+03
1.086E-03 1.242E+01 4.076E-03 4.420E+03
1.116E-03 1.239E+01 4.252E-03 4.189E+03
1.147E-03 1.236E+01 4.435E-03 3.970E+03
1.178E-03 1.233E+01 4.620E-03 3.767E+03
1.211E-03 1.230E+01 4.819E-03 3.569E+03
1.245E-03 1.227E+01 5.025E-03 3.380E+03
1.279E-03 1.224E+01 5.233E-03 3.206E+03
1.315E-03 1.220E+01 5.454E-03 3.036E+03
1.351E-03 1.216E+01 5.677E-03 2.879E+03
1.389E-03 1.213E+01 5.912E-03 2.726E+03
1.427E-03 1.209E+01 6.148E-03 2.586E+03
1.467E-03 1.204E+01 6.396E-03 2.449E+03
1.507E-03 1.200E+01 6.644E-03 2.321E+03
1.549E-03 1.196E+01 6.903E-03 2.190E+03
1.592E-03 1.191E+01 7.168E-03 2.066E+03
1.636E-03 1.186E+01 7.437E-03 1.950E+03
1.682E-03 1.181E+01 7.718E-03 1.839E+03
1.728E-03 1.175E+01 7.998E-03 1.737E+03
1.776E-03 1.170E+01 8.288E-03 1.639E+03
1.825E-03 1.164E+01 8.582E-03 1.547E+03
1.876E-03 1.158E+01 8.887E-03 1.459E+03
1.928E-03 1.152E+01 9.196E-03 1.377E+03
1.981E-03 1.146E+01 9.509E-03 1.300E+03
2.036E-03 1.140E+01 9.831E-03 1.225E+03
2.093E-03 1.133E+01 1.016E-02 1.152E+03
2.151E-03 1.126E+01 1.050E-02 1.085E+03
2.211E-03 1.119E+01 1.084E-02 1.021E+03
2.272E-03 1.112E+01 1.119E-02 9.617E+02
2.335E-03 1.105E+01 1.155E-02 9.054E+02
2.400E-03 1.097E+01 1.192E-02 8.522E+02
2.466E-03 1.090E+01 1.230E-02 8.027E+02
2.535E-03 1.082E+01 1.269E-02 1.640E+03
2.605E-03 1.073E+01 1.308E-02 2.412E+03
2.677E-03 1.065E+01 1.348E-02 2.316E+03
2.751E-03 1.056E+01 1.389E-02 2.224E+03
2.828E-03 1.047E+01 1.431E-02 2.134E+03
2.906E-03 1.038E+01 1.474E-02 2.050E+03
2.987E-03 1.028E+01 1.518E-02 1.967E+03
3.070E-03 1.019E+01 1.562E-02 2.130E+03
3.155E-03 1.009E+01 1.608E-02 1.992E+03
3.242E-03 9.995E+00 1.653E-02 1.863E+03
3.332E-03 9.895E+00 1.700E-02 1.742E+03
3.424E-03 9.794E+00 1.747E-02 1.629E+03
3.519E-03 9.690E+00 1.795E-02 1.523E+03
3.617E-03 9.585E+00 1.845E-02 1.511E+03
3.717E-03 9.477E+00 1.895E-02 1.416E+03
3.820E-03 9.368E+00 1.947E-02 1.327E+03
3.926E-03 9.256E+00 2.000E-02 1.298E+03
4.035E-03 9.142E+00 2.054E-02 1.216E+03
4.147E-03 9.027E+00 2.109E-02 1.138E+03
4.262E-03 8.911E+00 2.166E-02 1.065E+03
4.380E-03 8.794E+00 2.223E-02 9.962E+02
4.502E-03 8.674E+00 2.281E-02 9.319E+02
4.627E-03 8.554E+00 2.340E-02 8.719E+02
4.755E-03 8.433E+00 2.401E-02 8.160E+02
4.887E-03 8.311E+00 2.463E-02 7.635E+02
5.022E-03 8.188E+00 2.526E-02 7.144E+02
5.162E-03 8.063E+00 2.591E-02 6.674E+02
5.305E-03 7.937E+00 2.657E-02 6.237E+02
5.452E-03 7.811E+00 2.724E-02 5.829E+02
5.603E-03 7.683E+00 2.792E-02 5.448E+02
5.758E-03 7.556E+00 2.862E-02 5.092E+02
5.918E-03 7.427E+00 2.934E-02 4.757E+02
6.082E-03 7.298E+00 3.007E-02 4.443E+02
6.251E-03 7.168E+00 3.081E-02 4.147E+02
6.424E-03 7.039E+00 3.156E-02 3.871E+02
6.602E-03 6.909E+00 3.233E-02 3.613E+02
6.785E-03 6.779E+00 3.311E-02 3.372E+02
6.974E-03 6.649E+00 3.390E-02 3.147E+02
7.167E-03 6.519E+00 3.471E-02 2.937E+02
7.366E-03 6.390E+00 3.553E-02 2.742E+02
7.570E-03 6.261E+00 3.636E-02 2.559E+02
7.780E-03 6.132E+00 3.720E-02 2.388E+02
7.996E-03 6.004E+00 3.806E-02 2.229E+02
8.217E-03 5.877E+00 3.892E-02 2.079E+02
8.445E-03 5.750E+00 3.980E-02 1.938E+02
8.680E-03 5.624E+00 4.070E-02 1.806E+02
8.920E-03 5.499E+00 4.159E-02 1.684E+02
9.168E-03 5.373E+00 4.250E-02 1.570E+02
9.422E-03 5.249E+00 4.341E-02 1.463E+02
9.683E-03 5.126E+00 4.432E-02 1.364E+02
9.952E-03 5.003E+00 4.524E-02 1.272E+02
1.023E-02 4.881E+00 4.615E-02 1.185E+02
1.051E-02 4.760E+00 4.706E-02 1.104E+02
1.080E-02 4.640E+00 4.798E-02 1.028E+02
1.110E-02 4.522E+00 4.889E-02 9.574E+01
1.141E-02 4.404E+00 4.981E-02 8.917E+01
1.173E-02 4.287E+00 5.073E-02 8.305E+01
1.205E-02 4.172E+00 5.166E-02 7.735E+01
1.239E-02 4.059E+00 5.259E-02 7.205E+01
1.273E-02 3.947E+00 5.353E-02 6.710E+01
1.308E-02 3.836E+00 5.448E-02 1.566E+02
1.344E-02 3.728E+00 5.543E-02 1.455E+02
1.382E-02 3.621E+00 5.640E-02 1.351E+02
1.420E-02 3.515E+00 5.735E-02 1.255E+02
1.459E-02 3.411E+00 5.829E-02 1.165E+02
1.500E-02 3.308E+00 5.920E-02 1.082E+02
