#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 2.528E+00 1.317E-02 1.567E+03
1.028E-03 2.513E+00 1.374E-02 1.456E+03
1.056E-03 2.499E+00 1.432E-02 1.356E+03
1.086E-03 2.484E+00 1.495E-02 1.259E+03
1.116E-03 2.469E+00 1.559E-02 1.171E+03
1.147E-03 2.454E+00 1.625E-02 1.088E+03
1.178E-03 2.439E+00 1.692E-02 1.014E+03
1.211E-03 2.424E+00 1.764E-02 9.421E+02
1.245E-03 2.408E+00 1.838E-02 8.752E+02
1.279E-03 2.392E+00 1.913E-02 8.147E+02
1.315E-03 2.375E+00 1.992E-02 7.567E+02
1.351E-03 2.357E+00 2.071E-02 7.043E+02
1.389E-03 2.339E+00 2.154E-02 6.542E+02
1.427E-03 2.321E+00 2.236E-02 6.089E+02
1.467E-03 2.302E+00 2.322E-02 5.658E+02
1.507E-03 2.282E+00 2.408E-02 5.266E+02
1.549E-03 2.262E+00 2.496E-02 4.888E+02
1.592E-03 2.240E+00 2.586E-02 4.538E+02
1.636E-03 2.219E+00 2.677E-02 4.215E+02
1.682E-03 2.196E+00 2.770E-02 3.910E+02
1.728E-03 2.174E+00 2.863E-02 3.634E+02
1.776E-03 2.151E+00 2.958E-02 3.374E+02
1.825E-03 2.128E+00 3.054E-02 3.134E+02
1.876E-03 2.104E+00 3.153E-02 3.091E+03
1.928E-03 2.081E+00 3.253E-02 2.957E+03
1.981E-03 2.057E+00 3.352E-02 2.823E+03
2.036E-03 2.033E+00 3.454E-02 2.683E+03
2.093E-03 2.008E+00 3.558E-02 2.537E+03
2.151E-03 1.983E+00 3.661E-02 2.391E+03
2.211E-03 1.957E+00 3.766E-02 2.244E+03
2.272E-03 1.932E+00 3.870E-02 2.101E+03
2.335E-03 1.907E+00 3.975E-02 1.960E+03
2.400E-03 1.881E+00 4.081E-02 1.825E+03
2.466E-03 1.855E+00 4.187E-02 1.696E+03
2.535E-03 1.829E+00 4.295E-02 1.572E+03
2.605E-03 1.803E+00 4.402E-02 1.457E+03
2.677E-03 1.777E+00 4.509E-02 1.349E+03
2.751E-03 1.751E+00 4.617E-02 1.248E+03
2.828E-03 1.725E+00 4.726E-02 1.154E+03
2.906E-03 1.699E+00 4.835E-02 1.068E+03
2.987E-03 1.673E+00 4.944E-02 9.886E+02
3.070E-03 1.647E+00 5.054E-02 9.162E+02
3.155E-03 1.621E+00 5.163E-02 8.502E+02
3.242E-03 1.596E+00 5.273E-02 7.898E+02
3.332E-03 1.571E+00 5.383E-02 7.338E+02
3.424E-03 1.545E+00 5.494E-02 6.824E+02
3.519E-03 1.520E+00 5.605E-02 6.346E+02
3.617E-03 1.495E+00 5.717E-02 5.901E+02
3.717E-03 1.470E+00 5.829E-02 5.490E+02
3.820E-03 1.445E+00 5.942E-02 5.105E+02
3.926E-03 1.421E+00 6.056E-02 4.746E+02
4.035E-03 1.396E+00 6.171E-02 4.409E+02
4.147E-03 1.372E+00 6.287E-02 4.094E+02
4.262E-03 1.348E+00 6.404E-02 3.799E+02
4.380E-03 1.324E+00 6.521E-02 3.524E+02
4.502E-03 1.300E+00 6.641E-02 3.267E+02
4.627E-03 1.276E+00 6.761E-02 3.028E+02
4.755E-03 1.252E+00 6.883E-02 2.806E+02
4.887E-03 1.228E+00 7.006E-02 2.599E+02
5.022E-03 1.204E+00 7.130E-02 2.408E+02
5.162E-03 1.181E+00 7.257E-02 2.229E+02
5.305E-03 1.157E+00 7.385E-02 2.065E+02
5.452E-03 1.134E+00 7.515E-02 1.912E+02
5.603E-03 1.110E+00 7.646E-02 1.770E+02
5.758E-03 1.087E+00 7.779E-02 1.639E+02
5.918E-03 1.063E+00 7.914E-02 1.517E+02
6.082E-03 1.039E+00 8.051E-02 1.403E+02
6.251E-03 1.016E+00 8.190E-02 1.298E+02
6.424E-03 9.921E-01 8.330E-02 1.201E+02
6.602E-03 9.685E-01 8.471E-02 1.111E+02
6.785E-03 9.449E-01 8.615E-02 1.027E+02
6.974E-03 9.212E-01 8.760E-02 9.489E+01
7.167E-03 8.977E-01 8.906E-02 8.771E+01
7.366E-03 8.742E-01 9.054E-02 8.105E+01
7.570E-03 8.508E-01 9.203E-02 7.489E+01
7.780E-03 8.275E-01 9.353E-02 6.918E+01
7.996E-03 8.043E-01 9.505E-02 6.388E+01
8.217E-03 7.813E-01 9.656E-02 5.901E+01
8.445E-03 7.584E-01 9.810E-02 5.448E+01
8.680E-03 7.356E-01 9.964E-02 5.027E+01
8.920E-03 7.131E-01 1.012E-01 4.641E+01
