#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 1.327E+01 4.807E-03 6.600E+03
1.028E-03 1.324E+01 4.984E-03 6.274E+03
1.056E-03 1.320E+01 5.163E-03 5.973E+03
1.086E-03 1.316E+01 5.354E-03 5.675E+03
1.116E-03 1.312E+01 5.544E-03 5.399E+03
1.147E-03 1.309E+01 5.739E-03 5.135E+03
1.178E-03 1.305E+01 5.930E-03 4.955E+03
1.211E-03 1.301E+01 6.131E-03 4.699E+03
1.245E-03 1.297E+01 6.335E-03 4.455E+03
1.279E-03 1.292E+01 6.538E-03 4.230E+03
1.315E-03 1.288E+01 6.754E-03 4.010E+03
1.351E-03 1.283E+01 6.971E-03 3.878E+03
1.389E-03 1.278E+01 7.203E-03 3.670E+03
1.427E-03 1.273E+01 7.436E-03 3.477E+03
1.467E-03 1.267E+01 7.682E-03 3.291E+03
1.507E-03 1.262E+01 7.927E-03 3.118E+03
1.549E-03 1.256E+01 8.183E-03 2.944E+03
1.592E-03 1.250E+01 8.444E-03 2.781E+03
1.636E-03 1.245E+01 8.709E-03 2.628E+03
1.682E-03 1.238E+01 8.984E-03 2.480E+03
1.728E-03 1.232E+01 9.259E-03 2.345E+03
1.776E-03 1.226E+01 9.543E-03 2.215E+03
1.825E-03 1.219E+01 9.833E-03 2.093E+03
1.876E-03 1.213E+01 1.013E-02 1.976E+03
1.928E-03 1.206E+01 1.044E-02 1.867E+03
1.981E-03 1.199E+01 1.075E-02 1.764E+03
2.036E-03 1.192E+01 1.107E-02 1.663E+03
2.093E-03 1.184E+01 1.140E-02 1.565E+03
2.151E-03 1.177E+01 1.174E-02 1.473E+03
2.211E-03 1.169E+01 1.209E-02 1.386E+03
2.272E-03 1.161E+01 1.244E-02 1.306E+03
2.335E-03 1.153E+01 1.280E-02 1.229E+03
2.400E-03 1.145E+01 1.317E-02 1.157E+03
2.466E-03 1.136E+01 1.355E-02 1.090E+03
2.535E-03 1.127E+01 1.395E-02 1.025E+03
2.605E-03 1.119E+01 1.434E-02 9.656E+02
2.677E-03 1.110E+01 1.475E-02 9.092E+02
2.751E-03 1.101E+01 1.517E-02 8.562E+02
2.828E-03 1.091E+01 1.560E-02 8.056E+02
2.906E-03 1.082E+01 1.604E-02 7.587E+02
2.987E-03 1.072E+01 1.649E-02 7.140E+02
3.070E-03 1.062E+01 1.695E-02 6.710E+02
3.155E-03 1.052E+01 1.741E-02 6.305E+02
3.242E-03 1.042E+01 1.789E-02 5.926E+02
3.332E-03 1.032E+01 1.837E-02 1.383E+03
3.424E-03 1.022E+01 1.887E-02 1.283E+03
3.519E-03 1.011E+01 1.937E-02 1.705E+03
3.617E-03 1.000E+01 1.989E-02 1.593E+03
3.717E-03 9.890E+00 2.041E-02 1.490E+03
3.820E-03 9.778E+00 2.094E-02 1.393E+03
3.926E-03 9.666E+00 2.148E-02 1.302E+03
4.035E-03 9.554E+00 2.203E-02 1.216E+03
4.147E-03 9.441E+00 2.259E-02 1.321E+03
4.262E-03 9.325E+00 2.315E-02 1.234E+03
4.380E-03 9.208E+00 2.373E-02 1.152E+03
4.502E-03 9.088E+00 2.432E-02 1.075E+03
4.627E-03 8.967E+00 2.492E-02 1.004E+03
4.755E-03 8.847E+00 2.552E-02 9.378E+02
4.887E-03 8.726E+00 2.614E-02 9.297E+02
5.022E-03 8.604E+00 2.675E-02 8.695E+02
5.162E-03 8.479E+00 2.737E-02 8.124E+02
5.305E-03 8.354E+00 2.799E-02 7.927E+02
5.452E-03 8.229E+00 2.862E-02 7.415E+02
5.603E-03 8.104E+00 2.925E-02 6.936E+02
5.758E-03 7.978E+00 2.990E-02 6.489E+02
5.918E-03 7.852E+00 3.055E-02 6.069E+02
6.082E-03 7.726E+00 3.121E-02 5.674E+02
6.251E-03 7.598E+00 3.188E-02 5.300E+02
6.424E-03 7.469E+00 3.256E-02 4.953E+02
6.602E-03 7.341E+00 3.324E-02 4.628E+02
6.785E-03 7.211E+00 3.394E-02 4.324E+02
6.974E-03 7.081E+00 3.464E-02 4.039E+02
7.167E-03 6.951E+00 3.535E-02 3.775E+02
7.366E-03 6.820E+00 3.607E-02 3.527E+02
7.570E-03 6.690E+00 3.680E-02 3.295E+02
7.780E-03 6.559E+00 3.754E-02 3.079E+02
7.996E-03 6.428E+00 3.829E-02 2.877E+02
8.217E-03 6.299E+00 3.905E-02 2.685E+02
8.445E-03 6.169E+00 3.982E-02 2.506E+02
8.680E-03 6.039E+00 4.061E-02 2.338E+02
8.920E-03 5.910E+00 4.140E-02 2.182E+02
9.168E-03 5.781E+00 4.221E-02 2.036E+02
9.422E-03 5.653E+00 4.302E-02 1.900E+02
9.683E-03 5.526E+00 4.384E-02 1.774E+02
9.952E-03 5.400E+00 4.467E-02 1.655E+02
1.023E-02 5.274E+00 4.551E-02 1.543E+02
