#Photon    Coherent Incoher. Photoel.
#Energy    Scatter. Scatter. Absorb.
#
1.000E-03 1.357E+01 4.526E-03 6.613E+03
1.028E-03 1.354E+01 4.694E-03 6.296E+03
1.056E-03 1.350E+01 4.860E-03 6.381E+03
1.086E-03 1.347E+01 5.037E-03 6.057E+03
1.116E-03 1.343E+01 5.213E-03 5.758E+03
1.147E-03 1.340E+01 5.393E-03 5.472E+03
1.178E-03 1.336E+01 5.572E-03 5.208E+03
1.211E-03 1.332E+01 5.763E-03 4.948E+03
1.245E-03 1.328E+01 5.960E-03 4.701E+03
1.279E-03 1.324E+01 6.157E-03 4.532E+03
1.315E-03 1.319E+01 6.368E-03 4.291E+03
1.351E-03 1.315E+01 6.579E-03 4.068E+03
1.389E-03 1.310E+01 6.802E-03 3.852E+03
1.427E-03 1.305E+01 7.026E-03 3.653E+03
1.467E-03 1.299E+01 7.260E-03 3.524E+03
1.507E-03 1.294E+01 7.494E-03 3.335E+03
1.549E-03 1.288E+01 7.739E-03 3.150E+03
1.592E-03 1.283E+01 7.990E-03 2.976E+03
1.636E-03 1.277E+01 8.245E-03 2.812E+03
1.682E-03 1.271E+01 8.512E-03 2.655E+03
1.728E-03 1.265E+01 8.778E-03 2.510E+03
1.776E-03 1.259E+01 9.055E-03 2.371E+03
1.825E-03 1.252E+01 9.338E-03 2.241E+03
1.876E-03 1.246E+01 9.631E-03 2.116E+03
1.928E-03 1.239E+01 9.930E-03 1.999E+03
1.981E-03 1.232E+01 1.023E-02 1.890E+03
2.036E-03 1.225E+01 1.055E-02 1.781E+03
2.093E-03 1.217E+01 1.087E-02 1.676E+03
2.151E-03 1.210E+01 1.121E-02 1.578E+03
2.211E-03 1.202E+01 1.155E-02 1.485E+03
2.272E-03 1.194E+01 1.190E-02 1.399E+03
2.335E-03 1.186E+01 1.225E-02 1.317E+03
2.400E-03 1.178E+01 1.262E-02 1.240E+03
2.466E-03 1.169E+01 1.299E-02 1.168E+03
2.535E-03 1.160E+01 1.338E-02 1.099E+03
2.605E-03 1.151E+01 1.377E-02 1.035E+03
2.677E-03 1.142E+01 1.417E-02 9.746E+02
2.751E-03 1.133E+01 1.458E-02 9.177E+02
2.828E-03 1.123E+01 1.501E-02 8.636E+02
2.906E-03 1.113E+01 1.544E-02 8.133E+02
2.987E-03 1.103E+01 1.588E-02 7.655E+02
3.070E-03 1.093E+01 1.633E-02 7.193E+02
3.155E-03 1.083E+01 1.679E-02 6.757E+02
3.242E-03 1.073E+01 1.726E-02 6.350E+02
3.332E-03 1.062E+01 1.774E-02 5.964E+02
3.424E-03 1.051E+01 1.822E-02 5.604E+02
3.519E-03 1.040E+01 1.872E-02 5.264E+02
3.617E-03 1.028E+01 1.922E-02 1.195E+03
3.717E-03 1.017E+01 1.974E-02 1.110E+03
3.820E-03 1.005E+01 2.026E-02 1.479E+03
3.926E-03 9.936E+00 2.079E-02 1.382E+03
4.035E-03 9.816E+00 2.133E-02 1.291E+03
4.147E-03 9.696E+00 2.188E-02 1.206E+03
4.262E-03 9.574E+00 2.244E-02 1.127E+03
4.380E-03 9.451E+00 2.301E-02 1.227E+03
4.502E-03 9.326E+00 2.360E-02 1.145E+03
4.627E-03 9.201E+00 2.419E-02 1.069E+03
4.755E-03 9.075E+00 2.478E-02 9.983E+02
4.887E-03 8.947E+00 2.538E-02 9.321E+02
5.022E-03 8.819E+00 2.598E-02 8.703E+02
5.162E-03 8.689E+00 2.658E-02 8.111E+02
5.305E-03 8.559E+00 2.720E-02 8.043E+02
5.452E-03 8.430E+00 2.783E-02 7.516E+02
5.603E-03 8.299E+00 2.847E-02 7.328E+02
5.758E-03 8.168E+00 2.911E-02 6.857E+02
5.918E-03 8.036E+00 2.975E-02 6.415E+02
6.082E-03 7.904E+00 3.041E-02 5.998E+02
6.251E-03 7.771E+00 3.107E-02 5.604E+02
6.424E-03 7.638E+00 3.174E-02 5.238E+02
6.602E-03 7.505E+00 3.242E-02 4.895E+02
6.785E-03 7.372E+00 3.311E-02 4.574E+02
6.974E-03 7.238E+00 3.381E-02 4.273E+02
7.167E-03 7.104E+00 3.452E-02 3.994E+02
7.366E-03 6.971E+00 3.524E-02 3.732E+02
7.570E-03 6.837E+00 3.597E-02 3.487E+02
7.780E-03 6.704E+00 3.671E-02 3.259E+02
7.996E-03 6.570E+00 3.746E-02 3.045E+02
8.217E-03 6.438E+00 3.821E-02 2.843E+02
8.445E-03 6.305E+00 3.898E-02 2.654E+02
8.680E-03 6.172E+00 3.977E-02 2.477E+02
8.920E-03 6.040E+00 4.056E-02 2.313E+02
9.168E-03 5.909E+00 4.136E-02 2.159E+02
9.422E-03 5.778E+00 4.217E-02 2.016E+02
9.683E-03 5.649E+00 4.299E-02 1.882E+02
9.952E-03 5.520E+00 4.382E-02 1.757E+02
1.023E-02 5.393E+00 4.466E-02 1.638E+02
1.051E-02 5.266E+00 4.551E-02 1.528E+02
1.080E-02 5.141E+00 4.637E-02 1.424E+02
1.110E-02 5.017E+00 4.724E-02 1.328E+02
1.141E-02 4.894E+00 4.811E-02 1.238E+02
1.173E-02 4.772E+00 4.899E-02 1.154E+02
1.205E-02 4.651E+00 4.987E-02 1.076E+02
1.239E-02 4.532E+00 5.076E-02 1.004E+02
1.273E-02 4.414E+00 5.166E-02 9.357E+01
1.308E-02 4.297E+00 5.256E-02 8.724E+01
1.344E-02 4.182E+00 5.345E-02 8.136E+01
1.382E-02 4.068E+00 5.435E-02 7.585E+01
1.420E-02 3.955E+00 5.525E-02 7.073E+01
1.459E-02 3.844E+00 5.615E-02 6.594E+01
1.500E-02 3.734E+00 5.705E-02 6.148E+01
