#XLO XHI SOURCE
0.3 0.31 0.0516452
0.31 0.32 0.0673439
0.32 0.33 0.0851312
0.33 0.34 0.104789
0.34 0.35 0.126058
0.35 0.36 0.14866
0.36 0.37 0.172315
0.37 0.38 0.196748
0.38 0.39 0.221703
0.39 0.4 0.246946
0.4 0.41 0.257912
0.41 0.42 0.282794
0.42 0.43 0.307557
0.43 0.44 0.332067
0.44 0.45 0.356209
0.45 0.46 0.379892
0.46 0.47 0.403041
0.47 0.48 0.425597
0.48 0.49 0.447515
0.49 0.5 0.468764
0.5 0.51 0.489322
0.51 0.52 0.509177
0.52 0.53 0.528324
0.53 0.54 0.3982
0.54 0.55 0.379529
0.55 0.56 0.397723
0.56 0.57 0.415529
0.57 0.58 0.432926
0.58 0.59 0.449899
0.59 0.6 0.466436
0.6 0.61 0.482528
0.61 0.62 0.498172
0.62 0.63 0.513366
0.63 0.64 0.528112
0.64 0.65 0.542412
0.65 0.66 0.556271
0.66 0.67 0.569696
0.67 0.68 0.582694
0.68 0.69 0.595274
0.69 0.7 0.607445
0.7 0.71 0.60966
0.71 0.72 0.59936
0.72 0.73 0.611327
0.73 0.74 0.622798
0.74 0.75 0.633791
0.75 0.76 0.644322
0.76 0.77 0.654409
0.77 0.78 0.66407
0.78 0.79 0.67332
0.79 0.8 0.682178
0.8 0.81 0.69066
0.81 0.82 0.698782
0.82 0.83 0.706559
0.83 0.84 0.714007
0.84 0.85 0.721141
0.85 0.86 0.727975
0.86 0.87 0.724144
0.87 0.88 0.707036
0.88 0.89 0.714419
0.89 0.9 0.721577
0.9 0.91 0.728518
0.91 0.92 0.735248
0.92 0.93 0.741774
0.93 0.94 0.748103
0.94 0.95 0.754243
0.95 0.96 0.760198
0.96 0.97 0.765975
0.97 0.98 0.771581
0.98 0.99 0.77702
0.99 1 0.782299
1 1.01 0.787423
1.01 1.02 0.792397
1.02 1.03 0.797226
1.03 1.04 0.801916
1.04 1.05 0.80647
1.05 1.06 0.810893
1.06 1.07 0.81519
1.07 1.08 0.819366
1.08 1.09 0.823423
1.09 1.1 0.827366
1.1 1.11 0.831198
1.11 1.12 0.834925
1.12 1.13 0.838548
1.13 1.14 0.842071
1.14 1.15 0.845498
1.15 1.16 0.848831
1.16 1.17 0.852075
1.17 1.18 0.855231
1.18 1.19 0.858302
1.19 1.2 0.861292
1.2 1.21 0.864202
1.21 1.22 0.867036
1.22 1.23 0.869796
1.23 1.24 0.872484
1.24 1.25 0.875102
1.25 1.26 0.877653
1.26 1.27 0.880139
1.27 1.28 0.882561
1.28 1.29 0.884922
1.29 1.3 0.887224
1.3 1.31 0.884199
1.31 1.32 0.884187
1.32 1.33 0.886394
1.33 1.34 0.888546
1.34 1.35 0.890645
1.35 1.36 0.892694
1.36 1.37 0.894692
1.37 1.38 0.896642
1.38 1.39 0.898546
1.39 1.4 0.900405
1.4 1.41 0.902219
1.41 1.42 0.90399
1.42 1.43 0.90572
1.43 1.44 0.90741
1.44 1.45 0.909061
1.45 1.46 0.910674
1.46 1.47 0.912249
1.47 1.48 0.913789
1.48 1.49 0.915294
1.49 1.5 0.916765
1.5 1.51 0.918203
1.51 1.52 0.919609
1.52 1.53 0.920984
1.53 1.54 0.922329
1.54 1.55 0.923644
1.55 1.56 0.924931
1.56 1.57 0.926189
1.57 1.58 0.92742
1.58 1.59 0.928626
1.59 1.6 0.929805
1.6 1.61 0.930959
1.61 1.62 0.932089
1.62 1.63 0.933195
1.63 1.64 0.934279
1.64 1.65 0.935339
1.65 1.66 0.936378
1.66 1.67 0.937395
1.67 1.68 0.938392
1.68 1.69 0.939368
1.69 1.7 0.940325
1.7 1.71 0.941262
1.71 1.72 0.94218
1.72 1.73 0.94308
1.73 1.74 0.943963
1.74 1.75 0.944828
1.75 1.76 0.945676
1.76 1.77 0.946507
1.77 1.78 0.947322
1.78 1.79 0.948121
1.79 1.8 0.948905
1.8 1.81 0.949674
1.81 1.82 0.950429
1.82 1.83 0.951169
1.83 1.84 0.951895
1.84 1.85 0.947602
1.85 1.86 0.948361
1.86 1.87 0.949105
1.87 1.88 0.949835
1.88 1.89 0.950551
1.89 1.9 0.951254
1.9 1.91 0.951944
1.91 1.92 0.952621
1.92 1.93 0.953286
1.93 1.94 0.953938
1.94 1.95 0.954578
1.95 1.96 0.955207
1.96 1.97 0.955824
1.97 1.98 0.95643
1.98 1.99 0.957025
1.99 2 0.95761
2 2.01 0.958184
2.01 2.02 0.958748
2.02 2.03 0.959302
2.03 2.04 0.959846
2.04 2.05 0.960381
2.05 2.06 0.960906
2.06 2.07 0.961423
2.07 2.08 0.96193
2.08 2.09 0.962429
2.09 2.1 0.962919
2.1 2.11 0.963401
2.11 2.12 0.963874
2.12 2.13 0.96434
2.13 2.14 0.964798
2.14 2.15 0.965248
2.15 2.16 0.965691
2.16 2.17 0.966126
2.17 2.18 0.966555
2.18 2.19 0.966976
2.19 2.2 0.96739
2.2 2.21 0.967797
2.21 2.22 0.968198
2.22 2.23 0.968593
2.23 2.24 0.968981
2.24 2.25 0.969363
2.25 2.26 0.969738
2.26 2.27 0.970108
2.27 2.28 0.970472
2.28 2.29 0.97083
2.29 2.3 0.971183
2.3 2.31 0.97153
2.31 2.32 0.971871
2.32 2.33 0.972208
2.33 2.34 0.972539
2.34 2.35 0.972865
2.35 2.36 0.973186
2.36 2.37 0.973502
2.37 2.38 0.973814
2.38 2.39 0.97412
2.39 2.4 0.974422
2.4 2.41 0.97472
2.41 2.42 0.975013
2.42 2.43 0.975302
2.43 2.44 0.975586
2.44 2.45 0.975866
2.45 2.46 0.976142
2.46 2.47 0.976414
2.47 2.48 0.974871
2.48 2.49 0.974958
2.49 2.5 0.975242
2.5 2.51 0.975522
2.51 2.52 0.975798
2.52 2.53 0.97607
2.53 2.54 0.976337
2.54 2.55 0.976601
2.55 2.56 0.97686
2.56 2.57 0.977116
2.57 2.58 0.977368
2.58 2.59 0.977616
2.59 2.6 0.97786
2.6 2.61 0.978101
2.61 2.62 0.978338
2.62 2.63 0.978572
2.63 2.64 0.978803
2.64 2.65 0.97903
2.65 2.66 0.979254
2.66 2.67 0.979474
2.67 2.68 0.979692
2.68 2.69 0.979906
2.69 2.7 0.980117
2.7 2.71 0.980325
2.71 2.72 0.980531
2.72 2.73 0.980733
2.73 2.74 0.980933
2.74 2.75 0.98113
2.75 2.76 0.981324
2.76 2.77 0.981515
2.77 2.78 0.981704
2.78 2.79 0.98189
2.79 2.8 0.982073
2.8 2.81 0.982254
2.81 2.82 0.982433
2.82 2.83 0.982609
2.83 2.84 0.982783
2.84 2.85 0.982954
2.85 2.86 0.983123
2.86 2.87 0.98329
2.87 2.88 0.983455
2.88 2.89 0.983617
2.89 2.9 0.983777
2.9 2.91 0.983935
2.91 2.92 0.984091
2.92 2.93 0.984245
2.93 2.94 0.984397
2.94 2.95 0.984547
2.95 2.96 0.984695
2.96 2.97 0.984841
2.97 2.98 0.984985
2.98 2.99 0.985128
2.99 3 0.985268
3 3.01 0.985407
3.01 3.02 0.985544
3.02 3.03 0.985679
3.03 3.04 0.985813
3.04 3.05 0.985944
3.05 3.06 0.986075
3.06 3.07 0.986203
3.07 3.08 0.98633
3.08 3.09 0.986456
3.09 3.1 0.986579
3.1 3.11 0.986701
3.11 3.12 0.986822
3.12 3.13 0.986941
3.13 3.14 0.987059
3.14 3.15 0.987175
3.15 3.16 0.98729
3.16 3.17 0.987404
3.17 3.18 0.987516
3.18 3.19 0.987627
3.19 3.2 0.987736
3.2 3.21 0.987844
3.21 3.22 0.987669
3.22 3.23 0.987777
3.23 3.24 0.987884
3.24 3.25 0.987989
3.25 3.26 0.988094
3.26 3.27 0.988197
3.27 3.28 0.988299
3.28 3.29 0.988399
3.29 3.3 0.988499
3.3 3.31 0.988597
3.31 3.32 0.988695
3.32 3.33 0.988791
3.33 3.34 0.988886
3.34 3.35 0.98898
3.35 3.36 0.989072
3.36 3.37 0.989164
3.37 3.38 0.989255
3.38 3.39 0.989344
